"Index" "CMS.Open" "CMS.High" "CMS.Low" "CMS.Close" "CMS.Volume" "CMS.Adjusted"
"2007-01-03" 16.76 16.860001 16.65 16.809999 2915800 9.939351
"2007-01-04" 16.76 16.879999 16.66 16.74 1271100 9.897959
"2007-01-05" 16.65 16.690001 16.42 16.469999 3123700 9.738316
"2007-01-08" 16.43 16.549999 16.32 16.4 1250600 9.696929
"2007-01-09" 16.379999 16.459999 16.200001 16.299999 5225200 9.637798
"2007-01-10" 16.25 16.309999 16.110001 16.15 1366700 9.549109
"2007-01-11" 16.09 16.299999 16.02 16.120001 2164900 9.53137
"2007-01-12" 16.07 16.16 15.98 16 1213000 9.460417
"2007-01-16" 16.049999 16.18 16 16.120001 1143700 9.53137
"2007-01-17" 16.08 16.209999 16.049999 16.18 1611300 9.566846
"2007-01-18" 16.23 16.309999 16.129999 16.17 1928100 9.560932
"2007-01-19" 16.24 16.24 16.15 16.23 1129500 9.596411
"2007-01-22" 16.26 16.34 16.15 16.209999 1213600 9.584582
"2007-01-23" 16.219999 16.26 16.129999 16.25 1755300 9.608239
"2007-01-24" 16.25 16.52 16.219999 16.49 1184900 9.750143
"2007-01-25" 16.5 16.629999 16.42 16.530001 1379000 9.773795
"2007-01-26" 16.549999 16.76 16.469999 16.709999 2203200 9.880223
"2007-01-29" 16.68 16.77 16.610001 16.73 1700500 9.892046
"2007-01-30" 16.799999 16.84 16.67 16.709999 1869700 9.880223
"2007-01-31" 16.719999 16.790001 16.58 16.690001 1777400 9.868399
"2007-02-01" 16.700001 16.98 16.629999 16.9 2459500 9.992568
"2007-02-02" 16.950001 17.02 16.82 16.9 4097200 9.992568
"2007-02-05" 16.870001 17.129999 16.83 17.040001 4566700 10.105241
"2007-02-06" 17.469999 17.75 17.35 17.629999 4850000 10.45513
"2007-02-07" 17.02 18.26 17.02 17.620001 1617900 10.449197
"2007-02-08" 17.549999 17.709999 17.549999 17.67 1540500 10.478848
"2007-02-09" 17.690001 17.74 17.34 17.52 2923000 10.389893
"2007-02-12" 17.35 17.690001 17.219999 17.549999 1089300 10.407683
"2007-02-13" 17.9 17.9 17.440001 17.67 1566200 10.478848
"2007-02-14" 17.66 17.83 17.549999 17.629999 1677600 10.45513
"2007-02-15" 17.620001 17.639999 17.389999 17.51 1821600 10.383965
"2007-02-16" 17.530001 17.59 17.370001 17.52 1833900 10.389893
"2007-02-20" 17.52 17.68 17.379999 17.6 2265600 10.43734
"2007-02-21" 17.49 17.700001 17.27 17.629999 3090800 10.45513
"2007-02-22" 17.629999 17.969999 17.5 17.77 2997200 10.538156
"2007-02-23" 17.84 18 17.59 17.9 2374400 10.615246
"2007-02-26" 18.34 18.34 17.98 18.209999 3065600 10.799087
"2007-02-27" 17.42 18.41 17 17.48 3522300 10.366176
"2007-02-28" 17.200001 17.629999 17.18 17.450001 5374700 10.348385
"2007-03-01" 17.43 17.6 17.23 17.41 2409300 10.324664
"2007-03-02" 17.35 17.360001 17.040001 17.07 3165400 10.123029
"2007-03-05" 16.85 17.17 16.809999 16.860001 2349200 9.998495
"2007-03-06" 16.860001 17.25 16.82 17.200001 2199500 10.200126
"2007-03-07" 17.129999 17.4 17.07 17.18 1649800 10.18827
"2007-03-08" 17.24 17.389999 17.139999 17.200001 1647500 10.200126
"2007-03-09" 17.299999 17.35 17.1 17.290001 1158700 10.253499
"2007-03-12" 17.190001 17.290001 17 17.209999 2806500 10.206054
"2007-03-13" 17.209999 17.379999 16.9 16.91 1883200 10.028148
"2007-03-14" 16.92 17.1 16.73 16.99 3145700 10.07559
"2007-03-15" 16.99 17.26 16.889999 17.16 1175200 10.176408
"2007-03-16" 17.23 17.26 17 17.030001 1678800 10.099309
"2007-03-19" 17.040001 17.25 17.01 17.190001 1348500 10.194196
"2007-03-20" 17.209999 17.4 17.08 17.4 1928100 10.318733
"2007-03-21" 17.43 17.74 17.33 17.639999 2176000 10.46106
"2007-03-22" 17.59 17.639999 17.43 17.52 1533100 10.389893
"2007-03-23" 17.469999 17.719999 17.440001 17.690001 1373300 10.490711
"2007-03-26" 17.610001 17.799999 17.440001 17.77 1507700 10.538156
"2007-03-27" 17.75 17.889999 17.629999 17.860001 1105300 10.591529
"2007-03-28" 17.379999 17.92 17.379999 17.82 1923800 10.567805
"2007-03-29" 17.34 17.950001 17.34 17.860001 1980200 10.591529
"2007-03-30" 17.84 17.940001 17.59 17.799999 3225700 10.555947
"2007-04-02" 17.85 18.23 17.77 18.209999 3591800 10.799087
"2007-04-03" 18.27 18.370001 18.129999 18.26 2191000 10.828738
"2007-04-04" 18.290001 18.33 18.040001 18.059999 1010500 10.710134
"2007-04-05" 18.07 18.18 17.99 18.139999 1117200 10.757578
"2007-04-09" 18.129999 18.25 18.120001 18.16 919000 10.769437
"2007-04-10" 18.190001 18.299999 18 18.26 1309900 10.828738
"2007-04-11" 18.290001 18.389999 18.07 18.34 2336900 10.876183
"2007-04-12" 18.34 18.4 18.08 18.280001 2428300 10.8406
"2007-04-13" 18.25 18.41 18.209999 18.309999 1746400 10.85839
