"Index" "GWW.Open" "GWW.High" "GWW.Low" "GWW.Close" "GWW.Volume" "GWW.Adjusted"
"2007-01-03" 70.5 71.669998 70.370003 71 706000 52.863007
"2007-01-04" 71 71.18 70.25 70.779999 452100 52.699207
"2007-01-05" 70.599998 70.790001 68.919998 69.339996 583000 51.627048
"2007-01-08" 69.339996 70.339996 68.769997 70.019997 365600 52.133354
"2007-01-09" 70.019997 70.230003 69.529999 70.07 281300 52.170601
"2007-01-10" 69.769997 70.650002 69.57 70.559998 403200 52.535397
"2007-01-11" 70.57 71.349998 70.510002 71.349998 314100 53.123619
"2007-01-12" 71.389999 71.889999 71.099998 71.760002 290800 53.428883
"2007-01-16" 71.599998 71.800003 71.290001 71.730003 155800 53.406536
"2007-01-17" 71.800003 72.360001 71.629997 72.089996 407500 53.674568
"2007-01-18" 72.300003 72.300003 70.510002 70.900002 724300 52.788551
"2007-01-19" 71.019997 71.660004 71 71.32 379300 53.101284
"2007-01-22" 71.32 71.400002 70.919998 71.120003 373600 52.95237
"2007-01-23" 71.129997 72.25 71 71.800003 290200 53.458672
"2007-01-24" 71.730003 72.470001 71.25 72.419998 402900 53.920258
"2007-01-25" 72.419998 72.599998 71.639999 71.989998 666300 53.600121
"2007-01-26" 72.400002 74.760002 72.260002 72.730003 965800 54.151085
"2007-01-29" 74.650002 77.25 74 76.599998 1336800 57.032475
"2007-01-30" 75.769997 76.949997 75.769997 76.480003 791900 56.943138
"2007-01-31" 76.220001 77.870003 75.82 77.650002 672700 57.814281
"2007-02-01" 77.599998 78 76.879997 77.599998 881100 57.777035
"2007-02-02" 77 77.669998 76.910004 77.5 402000 57.702591
"2007-02-05" 77.75 79.18 77.419998 78.57 932000 58.499268
"2007-02-06" 78.699997 78.739998 77.809998 78.610001 677600 58.52906
"2007-02-07" 78.540001 78.879997 78.419998 78.690002 516000 58.588612
"2007-02-08" 78.400002 78.400002 77.199997 77.949997 760500 58.252304
"2007-02-09" 78.099998 78.379997 77.989998 78.169998 845800 58.416721
"2007-02-12" 77.699997 78.230003 77.110001 77.599998 957600 57.990746
"2007-02-13" 77.900002 78.900002 77.849998 78.510002 593200 58.670818
"2007-02-14" 78.910004 79.150002 78.5 78.900002 599700 58.962242
"2007-02-15" 79.300003 79.360001 79 79.209999 391500 59.193897
"2007-02-16" 78.989998 78.989998 78.099998 78.730003 247500 58.835197
"2007-02-20" 79.25 80 78.739998 79.949997 634900 59.746937
"2007-02-21" 79.800003 80.349998 79.300003 80.32 404800 60.023438
"2007-02-22" 80.07 80.370003 79.650002 80.370003 290800 60.06078
"2007-02-23" 79.949997 80.059998 79.720001 79.980003 291600 59.769329
"2007-02-26" 79.989998 80.239998 79.410004 79.57 352700 59.462975
"2007-02-27" 78.75 79.080002 76.559998 76.949997 929800 57.505005
"2007-02-28" 76.739998 77.800003 76.279999 77.290001 622000 57.759087
"2007-03-01" 76.779999 77.620003 76.349998 77.040001 587400 57.572289
"2007-03-02" 77.040001 77.25 75.650002 75.760002 543400 56.615719
"2007-03-05" 75.230003 75.480003 74.300003 74.300003 575500 55.524658
"2007-03-06" 74.599998 75.269997 74 75.07 481500 56.100075
"2007-03-07" 74.889999 75.889999 74.839996 75.400002 333100 56.346699
"2007-03-08" 75.889999 76.389999 75.800003 76.25 360300 56.981907
"2007-03-09" 76.5 76.830002 75.959999 76.580002 296900 57.228504
"2007-03-12" 76.540001 77.18 75.879997 76.620003 507500 57.258396
"2007-03-13" 76.25 76.309998 75.150002 75.25 524600 56.234592
"2007-03-14" 75.260002 75.800003 73.32 74.839996 869200 55.928211
"2007-03-15" 74.860001 75.550003 74.599998 75.110001 490800 56.129963
"2007-03-16" 75.68 76.089996 74.809998 75.260002 584600 56.242073
"2007-03-19" 75.400002 76.5 75.400002 75.949997 243400 56.757729
"2007-03-20" 75.900002 76.5 75.900002 76.199997 190400 56.944538
"2007-03-21" 76.139999 77.559998 75.900002 77.470001 298700 57.893612
"2007-03-22" 77.529999 78.540001 77.529999 78.010002 580700 58.297184
"2007-03-23" 78.07 78.839996 78 78.709999 304100 58.820267
"2007-03-26" 78.349998 78.449997 76.650002 77.709999 454400 58.072964
"2007-03-27" 77.5 77.5 76.660004 77.050003 158800 57.57975
"2007-03-28" 76.800003 76.970001 75.949997 76.209999 307000 56.951996
"2007-03-29" 76.459999 76.730003 76.139999 76.620003 246700 57.258396
"2007-03-30" 76.550003 77.879997 76.489998 77.239998 591600 57.721737
"2007-04-02" 77.099998 77.25 76.220001 76.389999 420600 57.08651
"2007-04-03" 76.440002 77.110001 76 77.080002 508900 57.602158
"2007-04-04" 77.160004 77.220001 76.459999 77.029999 272900 57.564796
"2007-04-05" 76.959999 77.699997 76.650002 77.510002 245500 57.923523
"2007-04-09" 77.510002 78.449997 76.779999 77.419998 405800 57.856239
"2007-04-10" 77.25 77.900002 77.25 77.580002 227300 57.975822
"2007-04-11" 77.419998 77.440002 76.400002 77 596900 57.542381
"2007-04-12" 77.050003 78.330002 76.699997 78.190002 389100 58.431667
"2007-04-13" 78.269997 79.75 78.050003 79.529999 1004500 59.433044
"2007-04-16" 81 83.989998 81 81.589996 1564100 60.9725
"2007-04-17" 81.339996 82.25 80.690002 82.099998 676300 61.35363
"2007-04-18" 82 83.080002 81.309998 82.699997 918100 61.802002
"2007-04-19" 81.760002 82.389999 81 82.029999 818100 61.301334
"2007-04-20" 82.449997 83.190002 82.410004 82.980003 946000 62.011246
"2007-04-23" 83 84.099998 82.82 83.900002 598200 62.69875
"2007-04-24" 83.400002 83.699997 83 83.080002 443300 62.085979
"2007-04-25" 83.150002 84.25 82.949997 84.019997 476500 62.788429
"2007-04-26" 84.029999 84.279999 83.580002 84.019997 350100 62.788429
"2007-04-27" 83.900002 84.209999 83.260002 83.849998 324600 62.661407
"2007-04-30" 83.160004 83.849998 82.599998 82.620003 560600 61.742218
"2007-05-01" 82.620003 83.830002 82.5 83.580002 610500 62.459652
"2007-05-02" 83.550003 84.949997 83.400002 84.459999 496500 63.117268
"2007-05-03" 84.400002 84.800003 84.209999 84.32 389200 63.012642
"2007-05-04" 84.5 84.889999 83.730003 84.080002 626700 62.83329
"2007-05-07" 84.080002 84.349998 83.129997 83.300003 800100 62.250393
"2007-05-08" 83.150002 84.389999 83 84.18 789800 62.908035
"2007-05-09" 84 84.599998 83.610001 84.5 543200 63.14716
"2007-05-10" 83.900002 84 83.410004 83.620003 511500 62.749485
"2007-05-11" 83.760002 84.580002 83.540001 84.580002 347900 63.469826
"2007-05-14" 84.550003 84.800003 84.150002 84.449997 256100 63.372272
"2007-05-15" 84.699997 85 83.900002 84.040001 335500 63.064613
"2007-05-16" 84 84.099998 83.360001 83.900002 318700 62.959553
"2007-05-17" 83.870003 83.870003 83.309998 83.610001 453500 62.741924
"2007-05-18" 83.989998 85.050003 83.639999 84.779999 395700 63.619888
"2007-05-21" 84.879997 85.699997 84.800003 85.400002 638200 64.085144
"2007-05-22" 85.25 86 85.160004 85.82 216900 64.400352
"2007-05-23" 85.849998 86.400002 85.599998 86.139999 494300 64.640488
"2007-05-24" 86.160004 86.970001 84.589996 84.809998 432800 63.642426
"2007-05-25" 84.970001 85.910004 84.629997 85.639999 228300 64.265244
"2007-05-29" 85.800003 86 85.5 85.889999 277400 64.452858
"2007-05-30" 85.599998 87.25 85.370003 87.25 478400 65.47345
"2007-05-31" 87.260002 88.050003 86.800003 88.050003 388900 66.073761
"2007-06-01" 88.050003 89.099998 88.040001 88.699997 579900 66.561523
"2007-06-04" 88.300003 88.580002 86.910004 88.230003 513500 66.208847
"2007-06-05" 87.75 88.239998 87.5 87.699997 482200 65.811089
"2007-06-06" 87.540001 87.540001 86.650002 86.830002 474900 65.158272
"2007-06-07" 87.760002 88.07 85.139999 85.150002 663300 63.897568
"2007-06-08" 85.160004 86.120003 85.150002 85.949997 635600 64.497902
"2007-06-11" 85.940002 87.360001 85.529999 86.739998 403500 65.090721
"2007-06-12" 86.580002 88.019997 86.010002 87.040001 581100 65.315849
"2007-06-13" 87.620003 90.300003 87.620003 89.489998 1116300 67.15435
"2007-06-14" 89.199997 89.769997 88.989998 89.599998 553800 67.2369
"2007-06-15" 90.480003 90.599998 89.589996 89.730003 849200 67.33445
"2007-06-18" 90.050003 91.339996 90.050003 90.800003 401700 68.13739
"2007-06-19" 90.510002 91.480003 89.940002 90.919998 664700 68.227425
"2007-06-20" 91.099998 92.25 90.68 90.68 1144400 68.047363
"2007-06-21" 90.760002 92.709999 90.699997 92.540001 775400 69.443115
"2007-06-22" 92.120003 92.489998 91.25 91.940002 1015400 68.992836
"2007-06-25" 92.089996 93.480003 91.900002 93.25 1862800 69.975891
"2007-06-26" 93.360001 94.75 92.629997 93.190002 1742400 69.930885
