"Index" "GIS.Open" "GIS.High" "GIS.Low" "GIS.Close" "GIS.Volume" "GIS.Adjusted"
"2007-01-03" 28.695 28.99 28.565001 28.715 3416000 16.870625
"2007-01-04" 28.715 28.790001 28.52 28.695 2771800 16.858875
"2007-01-05" 28.65 28.68 28.455 28.485001 2819200 16.735491
"2007-01-08" 28.450001 28.639999 28.33 28.615 2969600 16.921772
"2007-01-09" 28.620001 28.709999 28.275 28.280001 4600600 16.723665
"2007-01-10" 28.23 28.450001 28.105 28.379999 3635400 16.782804
"2007-01-11" 28.360001 28.764999 28.315001 28.655001 3666400 16.945419
"2007-01-12" 28.68 28.725 28.415001 28.450001 3151200 16.824194
"2007-01-16" 28.4 28.440001 28.055 28.290001 3213600 16.729586
"2007-01-17" 28.440001 28.440001 28.200001 28.299999 2459800 16.735493
"2007-01-18" 28.695 28.695 28.040001 28.254999 3502000 16.708885
"2007-01-19" 28.25 28.365 28.16 28.325001 2502800 16.750278
"2007-01-22" 28.254999 28.555 28.200001 28.395 3239800 16.791674
"2007-01-23" 28.315001 28.395 28.135 28.305 3750400 16.738447
"2007-01-24" 28.305 28.405001 28.145 28.264999 3347800 16.714794
"2007-01-25" 28.475 28.514999 28.35 28.389999 3067200 16.788715
"2007-01-26" 28.379999 28.485001 28.184999 28.275 1770200 16.720707
"2007-01-29" 28.325001 28.584999 28.155001 28.385 3001400 16.785765
"2007-01-30" 28.645 28.76 28.405001 28.635 3215400 16.933592
"2007-01-31" 28.545 28.690001 28.450001 28.620001 2387800 16.924732
"2007-02-01" 28.610001 28.725 28.450001 28.725 3062400 16.98682
"2007-02-02" 28.74 28.764999 28.535 28.655001 1766200 16.945419
"2007-02-05" 28.58 28.655001 28.434999 28.58 2135400 16.901073
"2007-02-06" 28.57 28.66 28.485001 28.6 2447800 16.912905
"2007-02-07" 28.535 28.65 28.32 28.370001 3610800 16.776886
"2007-02-08" 28.370001 28.434999 28.139999 28.389999 3712600 16.788715
"2007-02-09" 28.395 28.525 28.315001 28.514999 2219200 16.862631
"2007-02-12" 28.52 28.735001 28.405001 28.465 1813000 16.833067
"2007-02-13" 28.440001 28.785 28.440001 28.620001 1990800 16.924732
"2007-02-14" 28.67 28.754999 28.59 28.66 2713000 16.948383
"2007-02-15" 28.6 28.799999 28.525 28.754999 2070200 17.004564
"2007-02-16" 28.754999 29.049999 28.715 29.045 3303000 17.17606
"2007-02-20" 28.965 29.125 28.75 28.959999 3055400 17.125795
"2007-02-21" 28.895 29.02 28.725 28.75 2713400 17.001606
"2007-02-22" 28.690001 28.9 28.665001 28.865 3845200 17.069609
"2007-02-23" 28.809999 28.865 28.424999 28.59 3349600 16.906986
"2007-02-26" 28.665001 28.934999 28.629999 28.9 2210600 17.090305
"2007-02-27" 28.905001 29.165001 27.285 28.315001 5669600 16.744356
"2007-02-28" 28.325001 28.6 28.09 28.16 5487400 16.652704
"2007-03-01" 28.1 28.215 27.860001 28.059999 4067400 16.593573
"2007-03-02" 27.955 28.165001 27.75 27.75 2125000 16.410246
"2007-03-05" 27.68 28.1 27.575001 27.92 3390000 16.510773
"2007-03-06" 28.02 28.045 27.844999 27.965 3217000 16.537388
"2007-03-07" 27.865 27.93 27.445 27.450001 5047200 16.232841
"2007-03-08" 27.645 27.775 27.540001 27.58 3425400 16.309717
"2007-03-09" 27.594999 27.735001 27.530001 27.6 3091400 16.321541
"2007-03-12" 27.6 28.115 27.6 28.055 4908400 16.590605
"2007-03-13" 27.940001 28 27.51 27.52 3008400 16.274235
