"Index" "HSY.Open" "HSY.High" "HSY.Low" "HSY.Close" "HSY.Volume" "HSY.Adjusted"
"2007-01-03" 49.799999 50.5 49.73 49.799999 1277900 33.46125
"2007-01-04" 49.75 50.549999 49.700001 50.41 1402900 33.871113
"2007-01-05" 50.25 50.349998 49.860001 50.07 892500 33.642662
"2007-01-08" 50.029999 50.59 49.799999 50.540001 986700 33.958469
"2007-01-09" 50.639999 50.639999 50.150002 50.419998 735200 33.877846
"2007-01-10" 50.110001 50.369999 50.040001 50.27 585700 33.777054
"2007-01-11" 50.34 50.599998 50.099998 50.490002 761900 33.924858
"2007-01-12" 50.669998 50.84 50.330002 50.580002 697900 33.985332
"2007-01-16" 50.599998 50.700001 50.27 50.610001 549100 34.005489
"2007-01-17" 50.689999 50.900002 50.439999 50.77 716500 34.112999
"2007-01-18" 51 52.23 50.82 52.150002 2218700 35.040241
"2007-01-19" 52.18 52.57 52 52.369999 1091900 35.188057
"2007-01-22" 52.330002 52.650002 52.299999 52.299999 911900 35.141037
"2007-01-23" 52.200001 52.669998 52.029999 52.369999 1167100 35.188057
"2007-01-24" 51.099998 51.75 50.049999 50.779999 4509000 34.119728
"2007-01-25" 50.889999 50.98 49.98 50.18 2491400 33.716579
"2007-01-26" 50.18 50.509998 50.150002 50.400002 1622400 33.864388
"2007-01-29" 50.5 51.32 50.25 51.279999 1798300 34.455681
"2007-01-30" 50.900002 51.27 50.790001 51.040001 1542900 34.294395
"2007-01-31" 51.049999 51.389999 51.009998 51.040001 1440100 34.294395
"2007-02-01" 51.25 51.779999 51.139999 51.650002 1137400 34.704288
"2007-02-02" 51.549999 51.950001 51.470001 51.880001 891200 34.858826
"2007-02-05" 51.880001 51.889999 51.23 51.450001 923000 34.569901
"2007-02-06" 51.459999 51.540001 51.130001 51.16 871800 34.375038
"2007-02-07" 51.139999 51.299999 50.82 51.200001 788500 34.401924
"2007-02-08" 51.150002 51.299999 50.630001 50.810001 1113400 34.139874
"2007-02-09" 50.810001 51.009998 50.700001 50.73 507500 34.086132
"2007-02-12" 50.799999 50.950001 50.59 50.59 688600 33.992069
"2007-02-13" 50.59 50.970001 50.560001 50.830002 909800 34.15332
"2007-02-14" 50.849998 51.610001 50.84 51.299999 1596000 34.469112
"2007-02-15" 51.549999 52.900002 51.299999 52.099998 2476500 35.006641
"2007-02-16" 51.880001 52.450001 51.869999 52.380001 1809700 35.194786
"2007-02-20" 52.5 54.060001 52.27 53.57 2150000 35.99437
"2007-02-21" 53.400002 54.169998 53.25 53.610001 1856800 36.203705
"2007-02-22" 53.400002 53.549999 52.93 53.209999 795200 35.933571
"2007-02-23" 53.259998 53.27 52.68 53.09 729100 35.852543
"2007-02-26" 52.98 53.630001 52.91 53.560001 926400 36.169937
"2007-02-27" 52.919998 53.41 52 52.349998 1623700 35.352818
"2007-02-28" 52.25 53.34 52.25 52.900002 1610700 35.724239
"2007-03-01" 52.259998 53.459999 52.25 52.990002 1699800 35.785015
"2007-03-02" 53.040001 54 52.650002 53.049999 2246700 35.82552
"2007-03-05" 52.990002 54.110001 52.75 53.509998 1668500 36.136173
"2007-03-06" 53.91 54.650002 53.66 54.529999 1924200 36.824997
"2007-03-07" 54.400002 54.700001 53.919998 54.09 1513100 36.527866
"2007-03-08" 54.369999 54.75 54.200001 54.450001 924700 36.770981
"2007-03-09" 54.689999 54.689999 54.34 54.630001 952100 36.892521
"2007-03-12" 54.57 54.799999 54.299999 54.509998 915900 36.811489
"2007-03-13" 54.450001 54.580002 53.389999 53.41 1422500 36.068642
"2007-03-14" 53.400002 53.630001 52.75 53.450001 1215200 36.095657
"2007-03-15" 53.540001 54 53.380001 53.75 879300 36.298252
"2007-03-16" 53.75 53.75 53.360001 53.48 1168200 36.115906
"2007-03-19" 53.639999 53.779999 53.43 53.57 720700 36.176701
"2007-03-20" 53.630001 53.689999 53.259998 53.549999 899300 36.163177
"2007-03-21" 53.549999 53.98 53.16 53.740002 1193700 36.2915
"2007-03-22" 53.709999 54.27 53.689999 54.220001 917900 36.61565
"2007-03-23" 54.25 54.52 54 54.310001 741300 36.676437
"2007-03-26" 54.41 54.689999 54.25 54.650002 1123200 36.906036
"2007-03-27" 54.5 54.720001 54.16 54.419998 728500 36.75071
"2007-03-28" 54.299999 56.369999 54.200001 55.200001 2796800 37.277458
"2007-03-29" 55.119999 55.32 54.540001 54.639999 1287900 36.899284
"2007-03-30" 54.77 55.099998 54.32 54.66 1250100 36.912785
"2007-04-02" 55 56.130001 55 55.560001 1508300 37.520576
"2007-04-03" 55.810001 55.919998 55.580002 55.740002 1630100 37.642132
"2007-04-04" 55.82 55.84 55.52 55.68 1293800 37.601624
"2007-04-05" 55.77 56.75 55.720001 56.220001 2438900 37.96629
"2007-04-09" 56.16 56.310001 55.139999 55.34 2020400 37.372009
"2007-04-10" 55.470001 55.610001 55.220001 55.400002 1179400 37.412525
"2007-04-11" 55.34 55.470001 55.16 55.27 629100 37.324726
"2007-04-12" 55.049999 55.279999 54.700001 54.939999 1771200 37.101868
"2007-04-13" 55.060001 55.43 54.900002 55.380001 779700 37.399017
"2007-04-16" 54.650002 54.799999 54.23 54.5 2080500 36.804737
"2007-04-17" 54.400002 54.700001 54.25 54.529999 1013300 36.824997
"2007-04-18" 54.330002 54.82 54.220001 54.52 856400 36.818245
"2007-04-19" 53.900002 54.18 53.439999 53.970001 2245600 36.446835
"2007-04-20" 54 54.610001 53.720001 54.5 1776700 36.804737
"2007-04-23" 54.509998 54.830002 54.470001 54.68 979600 36.926289
"2007-04-24" 54.849998 54.860001 54.32 54.66 627700 36.912785
"2007-04-25" 54.689999 55.139999 54.599998 55.110001 714600 37.216682
"2007-04-26" 54.990002 55.150002 54.57 54.799999 647400 37.007339
"2007-04-27" 54.639999 54.790001 54.32 54.529999 589400 36.824997
"2007-04-30" 54.630001 55.259998 54.529999 54.959999 1597600 37.115395
"2007-05-01" 54.950001 55.169998 54.650002 55 659300 37.142387
"2007-05-02" 55.02 55.330002 54.919998 55.240002 691200 37.304462
"2007-05-03" 55.25 55.5 55.09 55.27 866600 37.324726
"2007-05-04" 55.290001 55.630001 55.18 55.549999 719500 37.513824
"2007-05-07" 55.639999 55.900002 55.560001 55.869999 449900 37.729931
"2007-05-08" 55.669998 55.900002 55.139999 55.32 848400 37.358486
"2007-05-09" 55.32 55.349998 54.830002 54.990002 1552800 37.135647
"2007-05-10" 53.23 53.48 52.419998 52.93 4118800 35.744484
"2007-05-11" 52.830002 53 52.23 52.540001 1465400 35.481125
"2007-05-14" 52.450001 52.650002 52.150002 52.349998 1255200 35.352818
"2007-05-15" 52.330002 52.59 52.049999 52.080002 1033800 35.170479
"2007-05-16" 52.060001 52.540001 52 52.540001 730200 35.481125
"2007-05-17" 52.290001 52.32 51.740002 51.779999 1216000 34.967876
"2007-05-18" 51.830002 52 51.669998 51.77 1074900 34.961132
"2007-05-21" 51.650002 52.470001 51.549999 52.009998 1912800 35.123211
"2007-05-22" 52.060001 52.459999 52.009998 52.290001 1096300 35.31229
"2007-05-23" 52.16 52.299999 51.919998 52.02 921000 35.312283
"2007-05-24" 52.009998 52.23 51.91 51.91 1016800 35.237614
"2007-05-25" 52.099998 52.349998 52 52.290001 659500 35.495575
"2007-05-29" 52.349998 52.52 51.970001 52.09 650700 35.359806
"2007-05-30" 51.900002 52.759998 51.75 52.759998 1002200 35.814617
"2007-05-31" 52.400002 52.93 52.400002 52.709999 984100 35.780674
"2007-06-01" 52.790001 53.150002 52.740002 53.040001 1061700 36.004704
"2007-06-04" 52.759998 52.869999 52.150002 52.259998 1090400 35.475208
"2007-06-05" 52.259998 52.27 51.48 51.709999 1023800 35.101845
"2007-06-06" 51.459999 51.59 50.869999 50.869999 1388000 34.531635
"2007-06-07" 50.700001 51.43 50.5 50.509998 1695200 34.287266
"2007-06-08" 50.540001 51.220001 50.540001 51.209999 896300 34.762447
"2007-06-11" 51.220001 51.630001 51.200001 51.299999 1286600 34.82354
"2007-06-12" 50.900002 51.200001 50.599998 50.610001 1403300 34.355133
"2007-06-13" 51.110001 51.189999 50.779999 51.189999 1248200 34.748859
"2007-06-14" 51.040001 51.18 50.880001 50.939999 974200 34.579159
"2007-06-15" 51.119999 51.240002 50.959999 51.07 956000 34.667408
"2007-06-18" 51.18 51.779999 51.139999 51.169998 1028600 34.735287
"2007-06-19" 51.139999 51.150002 50.830002 50.959999 556300 34.592739
"2007-06-20" 51.099998 51.32 50.509998 50.509998 770500 34.287266
"2007-06-21" 50.5 50.59 50.200001 50.540001 1054700 34.307648
"2007-06-22" 50.150002 50.52 50.119999 50.119999 1699600 34.022526
"2007-06-25" 50.16 50.450001 50.060001 50.150002 885700 34.0429
"2007-06-26" 50.150002 50.57 49.91 49.91 1091300 33.879963
"2007-06-27" 49.860001 51.389999 49.810001 51.189999 1734100 34.748859
"2007-06-28" 51.189999 51.290001 50.860001 50.950001 1006200 34.585953
"2007-06-29" 50.970001 51.189999 50.549999 50.619999 984100 34.361938
"2007-07-02" 50.849998 50.970001 50.68 50.880001 638400 34.538433
"2007-07-03" 50.900002 51 50.5 50.630001 324300 34.368725
"2007-07-05" 50.580002 50.950001 50.310001 50.43 755500 34.232956
"2007-07-06" 50.32 51 50.150002 50.82 765900 34.497711
"2007-07-09" 50.959999 51 50.619999 50.73 1031500 34.436619
"2007-07-10" 50.299999 50.59 50.080002 50.080002 1311700 33.995369
"2007-07-11" 50.099998 50.59 50 50.57 1458600 34.327995
"2007-07-12" 50.580002 50.91 50.369999 50.810001 1408100 34.490906
"2007-07-13" 50.549999 51.290001 50.529999 51.099998 1773900 34.687775
"2007-07-16" 51.130001 51.150002 50.470001 50.549999 1762100 34.31443
"2007-07-17" 50.700001 50.700001 50.049999 50.16 1432800 34.049667
"2007-07-18" 50.060001 50.32 49.639999 49.939999 1435700 33.900345
"2007-07-19" 48.75 49.5 47.860001 48.450001 5034800 32.888908
