"Index" "FAST.Open" "FAST.High" "FAST.Low" "FAST.Close" "FAST.Volume" "FAST.Adjusted"
"2007-01-03" 9.04 9.255 8.875 9.0075 7872400 6.078032
"2007-01-04" 9.0125 9.43 9.0125 9.3725 9558400 6.324327
"2007-01-05" 9.3725 9.395 9.0675 9.1075 6450400 6.145512
"2007-01-08" 9.0225 9.035 8.775 8.89 7614400 5.998749
"2007-01-09" 8.9425 9.175 8.9375 9.1325 8722000 6.162381
"2007-01-10" 9.095 9.29 9.02 9.28 5074400 6.26191
"2007-01-11" 9.3375 9.5725 9.3075 9.4375 6706400 6.36819
"2007-01-12" 9.4375 9.525 9.36 9.4525 3752400 6.378308
"2007-01-16" 9.5075 9.5075 9.3925 9.46 4176400 6.383368
"2007-01-17" 9.4625 9.52 9.3925 9.4775 4170800 6.395179
"2007-01-18" 9.525 9.53 9.175 9.2275 6289600 6.226482
"2007-01-19" 9.03 9.3675 8.9275 9.185 9150000 6.197806
"2007-01-22" 9.225 9.225 8.9375 8.945 4938800 6.035861
"2007-01-23" 8.9625 9.0425 8.94 8.94 4117600 6.032487
"2007-01-24" 9 9.0525 8.975 9.035 4490400 6.096587
"2007-01-25" 9.0125 9.0325 8.85 8.8725 5734000 5.986939
"2007-01-26" 8.8825 8.93 8.8375 8.8725 3748800 5.986939
"2007-01-29" 8.885 8.98 8.8375 8.8925 3807200 6.000434
"2007-01-30" 8.95 9.085 8.905 9.0775 4967600 6.125268
"2007-01-31" 9.09 9.37 9 9.32 6138800 6.2889
"2007-02-01" 9.3525 9.515 9.32 9.4975 5852800 6.408673
"2007-02-02" 9.5 9.5625 9.4475 9.545 5836000 6.440726
"2007-02-05" 9.4375 9.4425 9.31 9.3775 4508400 6.327702
"2007-02-06" 9.4225 9.4225 9.2225 9.285 4904400 6.265281
"2007-02-07" 9.325 9.5125 9.255 9.3825 4301600 6.331075
"2007-02-08" 9.4 9.4025 9.1975 9.2375 4389600 6.23323
"2007-02-09" 9.2625 9.2725 9.0625 9.1025 4669600 6.142138
"2007-02-12" 9.1575 9.1575 8.94 8.985 5114400 6.062852
"2007-02-13" 8.9875 9.0475 8.895 8.9675 4846400 6.051042
"2007-02-14" 9.01 9.175 8.99 9.125 3702800 6.15732
"2007-02-15" 9.085 9.165 9.02 9.1125 3833200 6.148885
"2007-02-16" 9.125 9.195 9.02 9.18 4148800 6.194432
"2007-02-20" 9.1925 9.3425 9.065 9.3225 3542800 6.290587
"2007-02-21" 9.3275 9.45 9.28 9.4175 4978400 6.35469
"2007-02-22" 9.455 9.46 9.255 9.3625 3465200 6.352995
"2007-02-23" 9.375 9.3975 9.175 9.2875 3049200 6.302103
"2007-02-26" 9.3575 9.375 9.16 9.2375 2736800 6.268175
"2007-02-27" 9.095 9.1775 8.92 8.9275 5223600 6.057821
"2007-02-28" 8.755 8.9 8.75 8.8175 6020800 5.983181
"2007-03-01" 8.75 8.9025 8.5625 8.85 7669200 6.005233
"2007-03-02" 8.7975 8.9175 8.675 8.6875 5974400 5.894968
"2007-03-05" 8.375 8.64 8.2625 8.51 9260000 5.774524
"2007-03-06" 8.5325 8.5675 8.47 8.5075 9001200 5.772829
"2007-03-07" 8.51 8.62 8.4525 8.5625 5126800 5.810147
"2007-03-08" 8.8425 8.895 8.705 8.8275 7601200 5.989967
"2007-03-09" 8.9 8.9875 8.81 8.8875 4604400 6.030679
"2007-03-12" 8.9 8.9675 8.7175 8.7775 4938000 5.956039
"2007-03-13" 8.8 8.84 8.605 8.64 5892800 5.862736
"2007-03-14" 8.6425 8.74 8.5 8.7175 5711200 5.915324
"2007-03-15" 8.74 8.805 8.7125 8.7625 3918000 5.945859
"2007-03-16" 8.7475 8.795 8.6825 8.7425 6625200 5.932289
"2007-03-19" 8.7825 8.9675 8.77 8.795 5575600 5.967915
"2007-03-20" 8.8525 8.935 8.7825 8.92 3511200 6.052734
"2007-03-21" 8.95 8.99 8.745 8.9775 6712000 6.09175
"2007-03-22" 8.995 8.995 8.8775 8.9525 4356000 6.074787
"2007-03-23" 8.975 9.1075 8.96 9.06 3990800 6.14773
"2007-03-26" 9.0925 9.1175 8.855 8.885 4324800 6.028983
"2007-03-27" 8.8325 8.845 8.72 8.7325 4345600 5.925504
"2007-03-28" 8.715 8.78 8.6275 8.74 4333200 5.930594
"2007-03-29" 8.78 8.8075 8.6225 8.6875 3858800 5.894968
"2007-03-30" 8.6575 8.785 8.645 8.7625 4194000 5.945859
"2007-04-02" 8.755 8.805 8.5975 8.695 5230000 5.900057
"2007-04-03" 8.7 8.85 8.6825 8.8275 5055600 5.989967
"2007-04-04" 8.8475 8.8825 8.7525 8.8725 4324400 6.020501
"2007-04-05" 8.8375 8.955 8.825 8.9 3500000 6.039161
"2007-04-09" 8.9625 8.975 8.855 8.9 3716000 6.039161
"2007-04-10" 8.8725 8.9525 8.835 8.91 2992000 6.045946
"2007-04-11" 8.9275 8.935 8.6675 8.7375 5532000 5.928897
"2007-04-12" 9.115 9.7375 9.025 9.5675 19964800 6.4921
"2007-04-13" 9.5575 9.895 9.5175 9.87 8984400 6.697365
"2007-04-16" 9.8475 10.1875 9.8475 10.0625 5516000 6.827984
"2007-04-17" 10.0175 10.12 9.98 10.075 3924800 6.836466
"2007-04-18" 10.08 10.1625 9.9325 10.085 6867200 6.843254
"2007-04-19" 10.0625 10.0725 9.925 10.025 4681200 6.802537
"2007-04-20" 10.0625 10.3125 10.0625 10.13 4458400 6.873786
"2007-04-23" 10.17 10.2125 10.08 10.1075 3900000 6.85852
"2007-04-24" 10.1725 10.3325 9.995 10.3175 8494800 7.001018
"2007-04-25" 10.4025 10.5225 10.24 10.49 10400800 7.11807
"2007-04-26" 10.4725 10.48 10.325 10.3925 5255600 7.051907
"2007-04-27" 10.3925 10.465 10.3775 10.4125 3485600 7.065482
"2007-04-30" 10.4375 10.4675 10.28 10.28 4691200 6.975571
"2007-05-01" 10.2675 10.3175 10.145 10.305 4298000 6.992539
"2007-05-02" 10.575 10.705 10.4725 10.5075 8212800 7.129944
"2007-05-03" 10.4 10.465 10.25 10.4025 5460000 7.058695
"2007-05-04" 10.46 10.5 10.35 10.45 3249200 7.090924
"2007-05-07" 10.475 10.5375 10.355 10.3675 2797200 7.034945
"2007-05-08" 10.3525 10.395 10.21 10.34 3810000 7.016285
"2007-05-09" 10.315 10.5 10.305 10.485 2226400 7.114675
"2007-05-10" 10.4625 10.4975 10.3625 10.45 3339200 7.090924
"2007-05-11" 10.3975 10.4825 10.2875 10.3975 2793600 7.0553
"2007-05-14" 10.4 10.425 10.3025 10.35 2213200 7.02307
"2007-05-15" 10.35 10.4675 10.25 10.2875 3874400 6.98066
"2007-05-16" 10.2875 10.4725 10.2625 10.4675 2716000 7.102801
"2007-05-17" 10.415 10.535 10.3625 10.4625 2722800 7.099409
"2007-05-18" 10.505 10.63 10.41 10.5875 2912800 7.184229
"2007-05-21" 10.5825 10.795 10.5675 10.6425 2580800 7.221547
"2007-05-22" 10.625 10.825 10.6025 10.7475 1730000 7.292795
"2007-05-23" 10.745 10.7975 10.66 10.66 3612400 7.23342
"2007-05-24" 10.66 10.8325 10.5325 10.6 3286400 7.192709
"2007-05-25" 10.5875 10.645 10.5125 10.6175 2414000 7.204586
"2007-05-29" 10.6 10.7475 10.4875 10.5775 3897200 7.177443
"2007-05-30" 10.56 10.69 10.5 10.69 3473200 7.253781
