"Index" "BEN.Open" "BEN.High" "BEN.Low" "BEN.Close" "BEN.Volume" "BEN.Adjusted"
"2007-01-03" 37.146667 38.099998 37.130001 37.793331 3660900 22.633362
"2007-01-04" 37.796665 38.126667 37.453335 37.959999 2777700 22.733191
"2007-01-05" 37.700001 37.91 37.193333 37.256668 2013600 22.311979
"2007-01-08" 37.34 38.323334 37.103333 38.313332 2851500 22.944777
"2007-01-09" 38.333332 39.279999 38.323334 38.990002 4179900 23.350027
"2007-01-10" 38.633331 39.506668 38.416668 39.396667 2876400 23.593569
"2007-01-11" 39.596668 40.096668 39.34 40.040001 2771100 23.97883
"2007-01-12" 40.060001 40.203335 39.783333 39.973331 2578800 23.938915
"2007-01-16" 40 40.313332 39.736668 40.139999 3328200 24.038723
"2007-01-17" 40.25 40.59 39.966667 40.083332 2866800 24.004791
"2007-01-18" 40.360001 40.360001 39.723331 39.816666 2459700 23.845095
"2007-01-19" 40.049999 40.049999 39.216667 39.263332 3808200 23.513704
"2007-01-22" 39.360001 39.513332 39.099998 39.306667 2378100 23.539658
"2007-01-23" 39.386665 39.546665 38.796665 39.226665 2366700 23.491756
"2007-01-24" 39.43 40.063332 39.413334 40.063332 2048700 23.992809
"2007-01-25" 40.333332 40.513332 39.506668 39.556667 4989900 23.689379
"2007-01-26" 39.833332 39.916668 39.073334 39.366669 2770500 23.575596
"2007-01-29" 39.433334 39.810001 38.916668 39.076668 2467500 23.40192
"2007-01-30" 39.150002 39.310001 38.893333 39.173332 3070200 23.459812
"2007-01-31" 39.033333 39.853333 39.006668 39.703335 3620100 23.77721
"2007-02-01" 39.966667 40.543331 39.810001 40.466667 4591500 24.234354
"2007-02-02" 40.330002 40.506668 40.103333 40.253334 4017900 24.106598
"2007-02-05" 40.433334 40.529999 40.153332 40.41 1920300 24.200418
"2007-02-06" 40.516666 40.873333 40.389999 40.733334 3560400 24.394064
"2007-02-07" 40.833332 41.223331 40.773335 41.136665 2175000 24.635595
"2007-02-08" 41.150002 41.766666 40.843334 41.326668 3276900 24.749382
"2007-02-09" 41.439999 41.593334 40.279999 40.633331 2733600 24.334162
"2007-02-12" 40.716667 40.919998 40.406666 40.886665 2517900 24.485884
"2007-02-13" 40.779999 40.990002 40.583332 40.970001 1800600 24.535789
"2007-02-14" 41.053333 42 40.983334 41.863335 2255400 25.070789
"2007-02-15" 41.793331 42.086666 41.663334 42.033333 1920000 25.172592
"2007-02-16" 41.900002 42.203335 41.623333 42.006668 1946400 25.156618
"2007-02-20" 42.060001 42.096668 41.669998 41.976665 2281200 25.138649
"2007-02-21" 41.933334 42.236668 41.796665 41.93 3395100 25.110706
"2007-02-22" 41.990002 42.119999 41.413334 41.849998 2721000 25.062799
"2007-02-23" 41.633331 41.753334 40.966667 41.25 2293200 24.703482
"2007-02-26" 41.406666 41.513332 40.626667 40.806667 2092500 24.437965
"2007-02-27" 40.056667 40.056667 38.386665 38.66 5259300 23.152403
"2007-02-28" 38.666668 39.330002 38.526669 39.096668 3345000 23.413893
"2007-03-01" 38.32 38.876667 37.439999 38.453335 4451100 23.028631
"2007-03-02" 38.443333 38.759998 38.113335 38.153332 4191300 22.848955
"2007-03-05" 37.666668 38.083332 37.156666 37.240002 5052600 22.301994
"2007-03-06" 38 38.496666 37.48 38.450001 3573900 23.026625
"2007-03-07" 38.483334 38.726665 38.183334 38.236668 2418300 22.898863
"2007-03-08" 38.733334 39.413334 38.636665 39.18 3304200 23.463806
"2007-03-09" 39.900002 40.123333 39.653332 39.906666 5004000 23.898985
"2007-03-12" 39.900002 40.369999 39.529999 40.226665 4477500 24.090624
"2007-03-13" 39.900002 39.936668 38.669998 38.713333 4176000 23.184336
"2007-03-14" 38.583332 39.176666 37.996666 39.103333 3684300 23.417894
"2007-03-15" 39.093334 39.299999 38.740002 39.143333 3845400 23.441854
"2007-03-16" 38.833332 41.666668 37.933334 38.186668 7155300 22.868935
"2007-03-19" 38.666668 39.013332 38.549999 38.983334 3925500 23.346025
"2007-03-20" 38.919998 39.263332 38.833332 39.113335 2132400 23.42388
"2007-03-21" 39.223331 40.553333 38.966667 40.436668 3748500 24.216394
"2007-03-22" 40.830002 40.830002 40.126667 40.5 3244800 24.25433
"2007-03-23" 40.626667 41.136665 40.540001 40.959999 2813400 24.529802
"2007-03-26" 40.990002 41.126667 40.466667 40.963333 3807000 24.531796
"2007-03-27" 40.733334 40.970001 40.43 40.473331 3526800 24.238348
"2007-03-28" 40.049999 40.169998 39.566666 39.75 4236900 23.83461
"2007-03-29" 40.403332 40.470001 39.740002 40.156666 2221200 24.078451
"2007-03-30" 40.103333 40.593334 39.643333 40.276669 3565200 24.150404
"2007-04-02" 40.176666 40.323334 39.599998 40.240002 3160800 24.128424
"2007-04-03" 40.573334 41.496666 40.299999 41.439999 4809000 24.847954
"2007-04-04" 41.566666 41.900002 41.236668 41.84 3818700 25.087799
"2007-04-05" 41.636665 42.013332 41.566666 41.93 3592800 25.141764
"2007-04-09" 41.936668 42.040001 41.5 41.906666 3291000 25.127775
"2007-04-10" 41.533333 42.183334 41.533333 42.116669 3817500 25.253691
"2007-04-11" 42.076668 42.456669 41.846668 41.956669 5758500 25.157747
"2007-04-12" 41.996666 42.193333 41.563332 42.193333 4118700 25.299669
"2007-04-13" 42.193333 42.52 42.033333 42.18 3271800 25.291664
"2007-04-16" 42.343334 43.279999 42.343334 43.156666 3312600 25.877291
"2007-04-17" 43.156666 43.959999 42.976665 43.646667 3513300 26.171097
"2007-04-18" 43.646667 44.573334 43.599998 44.330002 3703500 26.580841
"2007-04-19" 43.386665 43.59 42.526669 42.990002 6821400 25.777353
"2007-04-20" 43.049999 43.653332 43.049999 43.43 3870600 26.041193
"2007-04-23" 43.75 43.966667 43.276669 43.393333 2787900 26.019205
"2007-04-24" 43.389999 43.586666 42.599998 43.150002 2677200 25.873299
"2007-04-25" 43.293331 43.916668 42.793331 43.669998 2162100 26.185085
"2007-04-26" 44.133331 44.133331 43.033333 43.553333 2927100 26.115139
"2007-04-27" 43.503334 43.869999 43.279999 43.779999 2313600 26.251047
"2007-04-30" 43.803333 44.163334 43.503334 43.77 3355200 26.245052
"2007-05-01" 43.900002 44.006668 43.463333 43.869999 3322500 26.305019
"2007-05-02" 44.066666 44.483334 43.970001 44.326668 2002500 26.578836
"2007-05-03" 44.583332 44.906666 44.196667 44.873333 3241800 26.906618
"2007-05-04" 45.060001 45.193333 44.803333 45.066666 2350800 27.022552
"2007-05-07" 45.216667 45.333332 44.889999 45.076668 1965900 27.028551
"2007-05-08" 44.873333 45 44.553333 44.869999 2827200 26.904634
"2007-05-09" 44.936668 45.606667 44.886665 45.426666 3356400 27.238415
"2007-05-10" 45 45.419998 44.639999 44.669998 2704800 26.784695
"2007-05-11" 44.77 45.493332 44.77 45.34 1293000 27.18644
"2007-05-14" 45.503334 45.616669 44.936668 45.116669 2113800 27.05253
"2007-05-15" 45.27 45.953335 44.853333 44.950001 2832300 26.952599
"2007-05-16" 45.166668 45.756668 45.166668 45.626667 2133900 27.358334
"2007-05-17" 45.299999 45.316666 44.459999 44.833332 3825600 26.882639
"2007-05-18" 44.896667 45.330002 44.743332 45.330002 2643300 27.180449
"2007-05-21" 45.279999 45.66 45 45.540001 2997300 27.306356
"2007-05-22" 45.623333 45.623333 44.919998 45.103333 3098700 27.044531
"2007-05-23" 45.186668 45.52 44.98 45.029999 2639700 27.00057
"2007-05-24" 45 45.746666 44.27 44.486668 4070700 26.674765
"2007-05-25" 44.41 44.91 44.333332 44.650002 1916100 26.772707
"2007-05-29" 44.733334 45.16 44.483334 44.843334 2398500 26.888641
"2007-05-30" 44.503334 45.156666 44.220001 45.113335 2933100 27.050528
"2007-05-31" 45.400002 45.666668 45.18 45.666668 3208500 27.38233
"2007-06-01" 45.246666 45.75 45.246666 45.376667 2633100 27.208424
"2007-06-04" 45.833332 45.833332 44.810001 45.736668 2105700 27.424292
"2007-06-05" 45.493332 45.493332 44.286667 44.553333 5139300 26.714754
"2007-06-06" 44.060001 44.333332 43.636665 43.846668 3817200 26.291029
"2007-06-07" 43.846668 43.846668 42.536667 42.536667 5821200 25.505527
"2007-06-08" 42.453335 42.763332 41.966667 42.756668 5128500 25.637436
"2007-06-11" 42.503334 43.353333 42.483334 42.970001 2744100 25.765366
"2007-06-12" 42.959999 43.346668 42.603333 42.643333 4779300 25.569485
"2007-06-13" 42.723331 43.349998 42.563332 43.259998 5147700 25.939241
"2007-06-14" 43.236668 43.740002 43.166668 43.413334 3308400 26.031193
"2007-06-15" 43.860001 44.453335 43.75 44.093334 4060200 26.43894
"2007-06-18" 44.273335 44.706669 44.060001 44.456669 3422400 26.656788
"2007-06-19" 44.166668 44.889999 44.166668 44.816666 3748500 26.872656
"2007-06-20" 45.419998 46.443333 44.883331 44.970001 8712300 26.964592
"2007-06-21" 44.970001 45.383331 44.146667 44.943333 2764800 26.948595
"2007-06-22" 44.849998 45.130001 44.103333 44.200001 4721700 26.502892
"2007-06-25" 44.416668 44.869999 43.356667 43.756668 4424700 26.237051
"2007-06-26" 44.25 44.509998 44.006668 44.166668 3059700 26.482885
"2007-06-27" 44 44.583332 43.496666 44.5 4400100 26.713009
"2007-06-28" 44.563332 45.063332 44.506668 44.806667 2611200 26.8971
"2007-06-29" 44.866669 45.290001 43.866669 44.156666 3274200 26.506916
"2007-07-02" 44.156666 44.993332 44.156666 44.686668 3229200 26.825077
"2007-07-03" 44.993332 45.259998 44.843334 44.986668 1761300 27.005154
"2007-07-05" 44.986668 45.119999 44.693333 45 2214000 27.013157
"2007-07-06" 45.066666 45.25 44.82 45.139999 2435400 27.097195
"2007-07-09" 45.119999 45.583332 44.916668 45.509998 2832600 27.319313
"2007-07-10" 45.200001 45.25 44.113335 44.206669 3916800 26.536924
"2007-07-11" 44.773335 45.25 44.373333 44.943333 4221900 26.97913
"2007-07-12" 45.106667 46.276669 44.943333 46.276669 2825400 27.779531
"2007-07-13" 45.703335 46.900002 45.703335 46.743332 2645400 28.059675
"2007-07-16" 47 47.049999 46.553333 46.906666 2710200 28.157711
"2007-07-17" 47.333332 48.529999 47.200001 47.983334 4608600 28.804039
"2007-07-18" 47.693333 47.926666 46.793331 47.343334 3796200 28.419846
"2007-07-19" 47.466667 47.75 46.996666 47.400002 3666900 28.453861
"2007-07-20" 47.349998 47.349998 45.456669 45.98 4904700 27.60144
"2007-07-23" 46.540001 47.186668 46.133331 46.316666 3351300 27.803539
"2007-07-24" 45.529999 46.183334 44.683334 44.773335 4610700 26.877087
"2007-07-25" 45.223331 45.926666 44.293331 45.333332 4487400 27.213255
"2007-07-26" 44.466667 44.779999 42.266666 43.216667 6118500 25.942635
"2007-07-27" 43.330002 43.986668 42.5 43.383331 4905000 26.04269
"2007-07-30" 43.956669 44.463333 43.273335 44.183334 4232100 26.522907
"2007-07-31" 44.766666 45.496666 42.400002 42.456669 6008700 25.486418
"2007-08-01" 40.576668 42.803333 40.57 41.873333 7366200 25.136244
"2007-08-02" 41.779999 42.813332 41.779999 42.400002 4893300 25.452398
"2007-08-03" 42.966667 42.966667 40.146667 40.163334 8205000 24.109747
"2007-08-06" 40.543331 42.073334 39.636665 42.040001 6784500 25.236296
"2007-08-07" 41.66 42.656666 41.186668 41.906666 8018100 25.156252
"2007-08-08" 41.869999 43.576668 40.566666 41.823334 8956200 25.106222
"2007-08-09" 40.303333 41.926666 38.84 40.613335 10604400 24.379877
"2007-08-10" 40.163334 41.470001 39.016666 40.676666 6806700 24.417891
"2007-08-13" 41.033333 42.240002 40.77 41.34 4524000 24.816082
"2007-08-14" 41.623333 42.16 40.356667 40.356667 4178700 24.225803
"2007-08-15" 40.156666 41.263332 39.343334 39.650002 4215000 23.801596
"2007-08-16" 39.316666 41.383331 37.693333 41.213333 8202300 24.740047
"2007-08-17" 43.236668 44.723331 42 43.833332 7494300 26.312828
"2007-08-20" 44.163334 44.426666 42.450001 43.110001 4308300 25.878601
"2007-08-21" 43.036667 43.713333 42.653332 43.439999 2807100 26.076687
"2007-08-22" 43.933334 44.553333 43.02 44.236668 4062300 26.554932
"2007-08-23" 44.403332 44.746666 43.833332 44.23 3306600 26.55093
"2007-08-24" 44.34 44.833332 43.953335 44.783333 2326800 26.883093
"2007-08-27" 44.716667 44.873333 43.933334 43.939999 2455500 26.376856
"2007-08-28" 43.830002 43.833332 41.799999 41.806667 4094100 25.096226
"2007-08-29" 42.156666 43.376667 41.373333 43.376667 4200300 26.038685
"2007-08-30" 42.993332 43.486668 42.419998 42.75 4176600 25.662498
"2007-08-31" 43.209999 44.323334 42.900002 43.923332 3687000 26.366833
"2007-09-04" 44 44.876667 43.656666 44.293331 2496000 26.58894
"2007-09-05" 43.746666 43.863335 43.053333 43.486668 2694000 26.104715
"2007-09-06" 43.426666 43.716667 42.82 43.709999 2625000 26.238785
"2007-09-07" 43 43 41.946667 42.046665 5765400 25.240294
"2007-09-10" 42.383331 42.596668 41.16 41.673332 3769800 25.016186
"2007-09-11" 42 42.693333 41.52 42.016666 3724800 25.222279
"2007-09-12" 41.816666 41.833332 40.863335 41.036667 5308500 24.634007
"2007-09-13" 41.146667 41.5 40.773335 41.126667 4055700 24.68803
"2007-09-14" 41 42.046665 40.516666 42.040001 3579600 25.236296
"2007-09-17" 41.906666 41.906666 41.07 41.273335 3278700 24.776064
"2007-09-18" 41.633331 43.846668 40.953335 43.846668 6018300 26.320822
"2007-09-19" 44.279999 44.93 44.139999 44.366669 4448100 26.63298
"2007-09-20" 44.156666 44.330002 42.939999 43.103333 2587800 25.874605
"2007-09-21" 43.169998 43.68 43.103333 43.43 3369000 26.070705
"2007-09-24" 43.313332 44.080002 43.009998 43.310001 2775000 25.998661
"2007-09-25" 42.646667 42.75 41.82 42.263332 6287400 25.370354
"2007-09-26" 42.689999 42.816666 41.593334 41.889999 4705800 25.146248
"2007-09-27" 42.283333 42.283333 41.599998 42.18 3139200 25.320326
"2007-09-28" 42.07 42.656666 41.963333 42.5 2739600 25.512434
"2007-10-01" 42.346668 43.576668 42.346668 43.476665 4104600 26.098713
"2007-10-02" 43.610001 43.873333 43.16 43.763332 3485400 26.301041
"2007-10-03" 43.626667 43.626667 42.686668 42.896667 2487300 25.780191
"2007-10-04" 43.240002 43.240002 42.383331 42.463333 2741100 25.519768
"2007-10-05" 42.786667 43.706669 42.630001 43.376667 3268500 26.068655
"2007-10-08" 43.393333 43.5 42.893333 43.036667 2148300 25.864325
"2007-10-09" 43.186668 45.756668 43.186668 45.726665 5542800 27.480976
"2007-10-10" 45.543331 45.676666 44.759998 45.276669 4184700 27.210545
"2007-10-11" 45.790001 47.313332 45.630001 46.09 6831900 27.699329
"2007-10-12" 46.310001 46.790001 45.823334 46.773335 2559900 28.110001
"2007-10-15" 46.916668 47.156666 44.970001 45.666668 2901600 27.444925
"2007-10-16" 45.346668 45.849998 44.723331 44.976665 2923200 27.030239
"2007-10-17" 45.34 45.986668 44.666668 45.706669 4616100 27.468946
"2007-10-18" 45.706669 46.333332 45.099998 46.133331 3204600 27.725378
"2007-10-19" 45.943333 46.016666 44.279999 44.279999 3306600 26.611555
"2007-10-22" 43.84 45.009998 43.766666 44.873333 3504300 26.96814
"2007-10-23" 45.669998 47.310001 45.669998 47.23 4514400 28.384455
"2007-10-24" 47.029999 47.693333 46.216667 47.403332 5322600 28.488615
"2007-10-25" 46.049999 47.416668 45.066666 46.213333 5751600 27.773439
"2007-10-26" 46.099998 46.299999 42.5 43.993332 10450200 26.439268
"2007-10-29" 43.98 44.246666 42.683334 43.166668 5169600 25.942455
"2007-10-30" 42.75 43.599998 42.016666 43.09 4840500 25.896389
"2007-10-31" 43.506668 43.666668 42.299999 43.226665 5491800 25.978512
"2007-11-01" 42.57 42.66 41.043331 41.07 4253400 24.682394
"2007-11-02" 41.200001 41.643333 39.533333 41.41 7377900 24.886721
"2007-11-05" 40.84 41.220001 39.533333 40.586666 5727000 24.391914
"2007-11-06" 40.553333 41.150002 39.736668 40.656666 4058100 24.433987
"2007-11-07" 40.256668 40.503334 38.810001 38.84 6061800 23.342205
"2007-11-08" 39.029999 40.203335 37.939999 39.669998 8204700 23.841013
"2007-11-09" 39.25 40.096668 38.593334 39.076668 6935100 23.484428
"2007-11-12" 38.836666 40.966667 38.836666 39.256668 5289900 23.592613
"2007-11-13" 39.419998 41.323334 39.419998 41.27 4980000 24.802589
"2007-11-14" 41.973331 42.436668 41.033333 41.18 6449700 24.748501
"2007-11-15" 40.953335 41.273335 38.686668 39.233334 15210600 23.57859
"2007-11-16" 39.529999 39.803333 38.876667 39.650002 4575300 23.829006
"2007-11-19" 39.48 39.709999 38.343334 38.486668 3525600 23.12986
"2007-11-20" 38.740002 39.860001 38.203335 39.056667 5091900 23.472416
"2007-11-21" 38.656666 39.123333 37.823334 38.366669 4602900 23.057735
"2007-11-23" 39.136665 39.896667 38.52 39.686668 1292700 23.85103
"2007-11-26" 39.766666 39.766666 38.166668 38.169998 5876700 22.939539
"2007-11-27" 38.290001 39.316666 38.02 39.113335 4796400 23.506466
"2007-11-28" 39.383331 41.746666 39.303333 41.16 6268500 24.736475
"2007-11-29" 41 41.029999 39.799999 40.843334 4641000 24.546165
"2007-11-30" 41.416668 42.34 40.563332 41.060001 5764200 24.67638
"2007-12-03" 41.223331 41.279999 39.973331 40.186668 3429600 24.151522
"2007-12-04" 39.986668 40.333332 39.066666 39.066666 4049400 23.478422
"2007-12-05" 39.676666 40.493332 39.376667 40.323334 2903100 24.233652
"2007-12-06" 40.310001 41.333332 39.889999 41.313332 2655900 24.82863
"2007-12-07" 41.306667 41.583332 40.299999 40.346668 2764800 24.24769
"2007-12-10" 40.540001 41.540001 40.349998 40.5 2799600 24.339836
"2007-12-11" 40.48 40.573334 38.316666 38.32 4700100 23.02969
"2007-12-12" 39.263332 39.956669 38.186668 38.676666 5701800 23.24404
"2007-12-13" 38.560001 38.596668 37.236668 38.363335 6110700 23.055733
"2007-12-14" 37.900002 38.299999 36.986668 37.013332 4863300 22.2444
"2007-12-17" 36.779999 37.110001 36.476665 36.816666 4968300 22.126207
"2007-12-18" 37.076668 37.543331 36.226665 37.093334 4207800 22.292486
"2007-12-19" 37.446667 37.783333 36.603333 36.950001 3416100 22.206339
"2007-12-20" 37.290001 37.290001 36.153332 36.43 5821500 21.893835
"2007-12-21" 36.933334 38.453335 36.713333 38.373333 5736000 23.061747
"2007-12-24" 38.346668 38.866669 37.893333 38.443333 1386000 23.103809
"2007-12-26" 38.123333 38.450001 37.866669 38.353333 1996200 23.089764
"2007-12-27" 38.130001 38.236668 37.869999 37.953335 3108000 22.848949
"2007-12-28" 38.286667 38.606667 37.746666 38.046665 2376600 22.90514
"2007-12-31" 37.756668 38.566666 37.740002 38.143333 2010300 22.963339
"2008-01-02" 38.016666 38.139999 37.383331 37.896667 4584600 22.814837
"2008-01-03" 38.026669 38.196667 36.779999 37.106667 3811200 22.339241
"2008-01-04" 36.66 36.986668 35.406666 35.583332 6448500 21.422144
"2008-01-07" 35.869999 36.266666 34.919998 36.153332 6685500 21.765303
"2008-01-08" 36.369999 36.476665 34.256668 34.41 6946500 20.715767
"2008-01-09" 34.316666 34.933334 33.176666 33.990002 10011600 20.462921
"2008-01-10" 33.673332 35.866669 33.166668 35.32 6967200 21.263615
"2008-01-11" 34.826668 35.146667 33.66 34 7614000 20.468933
"2008-01-14" 34.209999 34.443333 33.586666 33.833332 4925700 20.368597
"2008-01-15" 33.336666 33.516666 32.143333 32.689999 8213700 19.680275
"2008-01-16" 32.526669 32.996666 31.34 31.436666 10097700 18.925739
"2008-01-17" 31.273333 31.306667 29.406668 29.466667 15749400 17.739742
"2008-01-18" 29.816668 30.473333 29.386667 30.18 11879700 18.169189
"2008-01-22" 28.666668 30.783333 28.333332 30.093332 9746700 18.117012
"2008-01-23" 29.6 31.389999 29.586666 31.336666 11303700 18.865543
"2008-01-24" 31.496668 33.466667 31.496668 32.966667 10784700 19.846842
"2008-01-25" 33.5 34.333332 32.666668 32.796665 11354400 19.744499
"2008-01-28" 32.903332 33.426666 32.119999 33.400002 4602600 20.107721
"2008-01-29" 33.546665 33.810001 32.810001 33.720001 4526400 20.300373
"2008-01-30" 33.563332 34.553333 33.243332 33.689999 7166700 20.282307
"2008-01-31" 33.066666 35 32.91 34.696667 7045200 20.888355
"2008-02-01" 34.963333 35.580002 34.790001 35.549999 4550400 21.402073
"2008-02-04" 35.416668 35.503334 34.759998 34.966667 2520000 21.050896
"2008-02-05" 33.946667 34.209999 33.066666 33.110001 5038200 19.933132
"2008-02-06" 33.083332 33.799999 32.393333 32.453335 4087200 19.537804
"2008-02-07" 32.336666 33.616669 32.073334 33.176666 3672000 19.973267
"2008-02-08" 32.843334 33 32.366669 32.560001 4072800 19.602013
"2008-02-11" 32.516666 32.693333 31.733334 32.463333 6257100 19.543818
"2008-02-12" 32.596668 33.093334 32.046665 32.393333 4573500 19.501677
"2008-02-13" 32.393333 33.18 32.209999 33.046665 5290500 19.894997
"2008-02-14" 33.046665 33.176666 32.353333 32.473331 3803400 19.549841
"2008-02-15" 32.263332 32.453335 31.676666 32.306667 3866100 19.449503
"2008-02-19" 32.709999 33.16 32.083332 32.259998 5051100 19.421404
"2008-02-20" 32.043331 32.636665 31.58 32.543331 5714100 19.591988
"2008-02-21" 32.59 32.906666 31.933332 32.009998 3602100 19.270899
"2008-02-22" 32.080002 32.380001 31.313334 32.380001 5267100 19.493656
"2008-02-25" 32.336666 33.216667 32 33.133331 5064900 19.947172
"2008-02-26" 32.923332 34.083332 32.833332 33.593334 4562100 20.224115
"2008-02-27" 33.310001 34.736668 33.203335 34.143333 4730700 20.555222
"2008-02-28" 33.786667 33.853333 32.893333 33.013332 4159200 19.874937
"2008-02-29" 32.713333 32.720001 31.35 31.456667 5505300 18.937782
"2008-03-03" 31.360001 31.620001 31.063334 31.366667 6922200 18.883604
"2008-03-04" 31.049999 31.453333 30.59 31.323334 6128100 18.857506
"2008-03-05" 31.676666 31.93 31.143333 31.463333 6419400 18.941786
"2008-03-06" 31.156668 31.316668 30.040001 30.066668 5119500 18.10096
"2008-03-07" 29.756666 30.82 29.373333 29.91 5259900 18.006647
"2008-03-10" 29.836666 30.303333 29.063334 29.073334 6859800 17.502949
"2008-03-11" 30.503332 31.540001 29.836666 31.486668 8400000 18.955843
"2008-03-12" 31.416668 32.196667 30.950001 31.083332 5838600 18.713015
