"Index" "TGT.Open" "TGT.High" "TGT.Low" "TGT.Close" "TGT.Volume" "TGT.Adjusted"
"2007-01-03" 57.849998 58.32 56.75 57.18 5691300 38.771442
"2007-01-04" 57.080002 57.830002 56.610001 57.59 3237400 39.049431
"2007-01-05" 57.5 58.099998 57.150002 57.27 2962000 38.832462
"2007-01-08" 57.189999 57.419998 56.93 57.349998 2874700 38.886707
"2007-01-09" 57.450001 58.450001 57.450001 58.259998 3820200 39.503742
"2007-01-10" 57.939999 58.439999 57.849998 58.310001 3369900 39.537632
"2007-01-11" 58.349998 59.91 58.25 59.810001 4874200 40.554722
"2007-01-12" 59.799999 60.459999 59.509998 60.310001 5133500 40.893738
"2007-01-16" 60.220001 61 60.080002 60.84 4575800 41.253124
"2007-01-17" 60.93 61 60.080002 60.360001 5104600 40.92767
"2007-01-18" 59.57 61.599998 59.57 61.509998 6335800 41.707428
"2007-01-19" 61.869999 62.959999 61.529999 62.349998 5996700 42.276997
"2007-01-22" 62.349998 62.48 61.290001 61.5 5511100 41.700649
"2007-01-23" 61.369999 62.09 60.990002 61.43 4265400 41.653183
"2007-01-24" 61.369999 61.919998 61.16 61.48 4031900 41.687092
"2007-01-25" 61.450001 61.5 60.57 60.68 3644300 41.14465
"2007-01-26" 60.68 60.860001 59.970001 60.189999 3237700 40.812378
"2007-01-29" 60.189999 60.529999 59.91 60.07 3067000 40.731022
"2007-01-30" 60.490002 61.080002 59.880001 60.439999 4402500 40.981903
"2007-01-31" 60.490002 61.59 60.349998 61.360001 3207900 41.605717
"2007-02-01" 61.290001 62.209999 61.07 61.799999 3858000 41.904072
"2007-02-02" 61.900002 62.25 61.48 62.029999 3276400 42.060013
"2007-02-05" 62.029999 62.48 61.799999 62.119999 3096300 42.121048
"2007-02-06" 62.119999 62.900002 62.009998 62.709999 3118400 42.521099
"2007-02-07" 62.939999 63.139999 62.360001 62.799999 1858600 42.582123
"2007-02-08" 63.099998 63.200001 62.060001 62.259998 2856800 42.215965
"2007-02-09" 62.240002 62.400002 61.130001 61.669998 4963400 41.815914
"2007-02-12" 61.639999 62.279999 61.509998 61.799999 2929800 41.904072
"2007-02-13" 62.02 62.349998 61.77 62.130001 2265700 42.127827
"2007-02-14" 62.099998 62.599998 61.900002 62.439999 3264400 42.338024
"2007-02-15" 62.220001 62.990002 62.080002 62.669998 2074900 42.575798
"2007-02-16" 62.400002 62.950001 62.150002 62.91 3454500 42.738838
"2007-02-20" 63.150002 64.739998 63.049999 64.32 4695200 43.696739
"2007-02-21" 64 64.18 63.369999 63.610001 3049900 43.214409
"2007-02-22" 63.360001 63.389999 62.68 63.119999 2945000 42.881512
"2007-02-23" 63.150002 63.349998 62.799999 63.099998 3237200 42.867928
"2007-02-26" 63.119999 63.43 62.23 62.549999 3421600 42.494259
"2007-02-27" 61.700001 62 59.400002 59.400002 6358500 40.354275
"2007-02-28" 60.43 61.849998 59.880001 61.529999 7802600 41.801334
"2007-03-01" 60.799999 61.400002 60 60.900002 5343600 41.373325
"2007-03-02" 60.5 61.830002 60.299999 61.029999 5700400 41.461639
"2007-03-05" 60.5 61.09 59.77 59.790001 4894900 40.619236
"2007-03-06" 60.200001 60.93 60.060001 60.73 5542800 41.257828
"2007-03-07" 60.419998 61.09 60.290001 60.599998 4269000 41.16951
"2007-03-08" 62.700001 63 61.509998 61.689999 4517900 41.910015
"2007-03-09" 62.349998 62.43 61.68 61.880001 4119200 42.039101
"2007-03-12" 61.349998 62.27 61.25 62.23 3345200 42.276871
"2007-03-13" 61.27 61.41 60 60.470001 7382800 41.081211
"2007-03-14" 60.82 60.900002 58.299999 59.299999 10753800 40.28635
"2007-03-15" 59.16 59.98 58.919998 59.580002 7780900 40.476574
"2007-03-16" 59.84 60.169998 59.310001 59.77 5526000 40.605648
"2007-03-19" 60.299999 60.709999 59.849998 60.439999 3813900 41.06081
"2007-03-20" 60.43 61.330002 60.360001 61.139999 3721700 41.536369
"2007-03-21" 61.02 62.259998 60.669998 61.59 5185300 41.842075
"2007-03-22" 61.799999 61.799999 60.740002 61.23 2867800 41.597515
"2007-03-23" 61.200001 61.939999 61.07 61.509998 2727000 41.787735
"2007-03-26" 61.389999 61.799999 60.290001 61.560001 3633700 41.821705
"2007-03-27" 61.209999 61.560001 60.099998 60.540001 4154900 41.128757
"2007-03-28" 60.290001 60.330002 59.540001 59.950001 4502600 40.727932
"2007-03-29" 60.299999 60.619999 59.16 59.75 3487000 40.592056
"2007-03-30" 59.75 60 58.810001 59.259998 5042300 40.259159
"2007-04-02" 59.509998 59.959999 58.849998 59.93 4571700 40.714348
"2007-04-03" 60.43 61.380001 60.110001 60.82 4542400 41.318989
"2007-04-04" 60.82 61.279999 60.380001 60.59 2463300 41.162716
"2007-04-05" 60.560001 61.400002 60.48 61.110001 1887800 41.515999
"2007-04-09" 61.209999 61.650002 61.009998 61.380001 2754500 41.699417
"2007-04-10" 61.27 61.669998 60.540001 60.560001 3998800 41.142334
"2007-04-11" 60.5 60.599998 59.290001 59.68 6685100 40.544487
"2007-04-12" 60.119999 60.41 58.93 59.950001 4336100 40.727932
"2007-04-13" 60.5 60.5 58.740002 59.650002 5735900 40.524136
"2007-04-16" 59.950001 60.369999 59.630001 60.169998 2693400 40.877377
"2007-04-17" 60.02 60.869999 60 60.610001 4795600 41.176311
"2007-04-18" 60.509998 60.950001 60.25 60.810001 4017800 41.312191
"2007-04-19" 60.529999 61.48 60.43 61.259998 5352300 41.617889
"2007-04-20" 61.790001 62.18 61.419998 62.119999 5050000 42.202141
"2007-04-23" 62.009998 62.25 61.369999 61.43 3625700 41.733391
"2007-04-24" 60 60.490002 59.450001 60.330002 8987100 40.986084
"2007-04-25" 60.400002 60.650002 59.939999 60.52 4168300 41.115158
"2007-04-26" 60.099998 61.610001 60.049999 60.950001 5499700 41.407284
"2007-04-27" 60.75 61.150002 60.310001 60.77 3201700 41.285011
"2007-04-30" 60.599998 60.799999 59.310001 59.369999 6931200 40.333878
"2007-05-01" 59.110001 59.830002 58.48 59.639999 7572700 40.517319
"2007-05-02" 58.799999 59.830002 58.790001 58.950001 6698300 40.048553
"2007-05-03" 59.16 59.369999 58.279999 58.580002 9888300 39.797195
"2007-05-04" 58.619999 59.16 58.290001 58.98 4749900 40.068939
"2007-05-07" 58.299999 59.82 58.290001 59.349998 5697400 40.320313
"2007-05-08" 59.400002 59.450001 58.779999 58.779999 6316400 39.933071
"2007-05-09" 58.799999 59.389999 58.599998 59.16 4459600 40.191219
"2007-05-10" 59.349998 60 58.66 58.720001 7195400 39.892307
"2007-05-11" 58.740002 59.029999 57.84 58.25 6379900 39.573009
"2007-05-14" 58.41 58.5 57.75 57.98 6247300 39.38958
"2007-05-15" 58.009998 58.349998 57.349998 57.549999 9591400 39.097446
"2007-05-16" 57.549999 57.77 56.799999 57.310001 11336900 39.01577
"2007-05-17" 57.900002 58 57.580002 57.689999 8478300 39.274448
"2007-05-18" 57.93 58.400002 57.799999 58.150002 9896400 39.587624
"2007-05-21" 58.450001 58.799999 57.880001 58.139999 7395200 39.580822
"2007-05-22" 58.439999 59 57.880001 58.040001 10810800 39.512733
"2007-05-23" 60.349998 60.630001 58.5 58.599998 15470100 39.893974
"2007-05-24" 58.849998 60.25 58.610001 60.16 11889200 40.95599
"2007-05-25" 60.470001 60.869999 60.220001 60.759998 7224900 41.36446
"2007-05-29" 60.799999 60.990002 60.450001 60.799999 6639300 41.391693
"2007-05-30" 60.209999 61.130001 60.150002 61.080002 5510700 41.582314
"2007-05-31" 61.299999 62.549999 60.810001 62.43 11810400 42.501373
"2007-06-01" 62.41 63.849998 62.380001 63.669998 11945200 43.345554
"2007-06-04" 63.279999 63.860001 63.099998 63.849998 6863200 43.468082
"2007-06-05" 63.32 64.010002 63.209999 63.959999 8300000 43.542973
"2007-06-06" 63.549999 64.18 63.099998 64.099998 10495800 43.638283
"2007-06-07" 63.700001 63.84 62.380001 62.529999 11042200 42.569454
"2007-06-08" 62.540001 63.439999 62.299999 63.369999 7404800 43.141308
"2007-06-11" 63.099998 63.299999 62.669998 62.939999 5600200 42.848576
"2007-06-12" 62.360001 63.18 62.200001 62.459999 8373400 42.521801
"2007-06-13" 62.810001 63.560001 62.66 63.470001 7670700 43.209396
"2007-06-14" 63.5 63.900002 63.380001 63.84 7156600 43.461277
"2007-06-15" 64.32 64.449997 63.77 63.790001 8525000 43.427246
"2007-06-18" 63.82 64.160004 63.75 63.98 10064600 43.556587
"2007-06-19" 63.700001 64.139999 63.139999 63.310001 13744200 43.10046
"2007-06-20" 63.599998 65.07 63.310001 64.25 20239400 43.740395
"2007-06-21" 64.050003 64.68 63.66 64.400002 8066800 43.842529
"2007-06-22" 63.57 64.82 63.509998 64.269997 10514600 43.754005
"2007-06-25" 63.810001 64.730003 63.5 64.160004 14000600 43.679131
"2007-06-26" 63.939999 64.190002 62.779999 62.91 16425500 42.828156
"2007-06-27" 62.799999 63.900002 62.400002 63.75 10061200 43.400009
"2007-06-28" 63.580002 63.889999 63.299999 63.5 7989400 43.229813
"2007-06-29" 64.220001 64.269997 63.349998 63.599998 7340000 43.297894
"2007-07-02" 63.25 64.040001 63.110001 63.84 6707600 43.461277
"2007-07-03" 63.990002 63.990002 63.110001 63.259998 3978700 43.066418
"2007-07-05" 63.049999 64.419998 63 64.209999 7767500 43.713161
"2007-07-06" 64.199997 68.239998 63.77 68.099998 30181800 46.361412
"2007-07-09" 67.610001 67.610001 66.489998 66.720001 12176400 45.421944
"2007-07-10" 66 66.129997 64.739998 64.809998 15467000 44.121628
"2007-07-11" 64.739998 66.059998 64.720001 65.599998 11065500 44.659451
"2007-07-12" 66.639999 70.480003 65.599998 70.040001 32807200 47.68214
"2007-07-13" 69.75 70.75 69.019997 70.139999 19536500 47.750217
"2007-07-16" 70.669998 70.699997 68.739998 68.889999 10519800 46.899242
"2007-07-17" 69.150002 69.150002 68.370003 68.519997 7818600 46.647343
"2007-07-18" 68.860001 68.900002 67.900002 68.019997 8268900 46.306942
"2007-07-19" 68.040001 69.440002 68.019997 68.889999 9325900 46.899242
"2007-07-20" 68.370003 69.519997 66.5 67.43 10322200 45.905312
"2007-07-23" 67.849998 68.050003 66.559998 66.669998 7337900 45.387909
"2007-07-24" 66.5 66.669998 64.75 64.800003 11001400 44.114841
"2007-07-25" 65 65.489998 63.900002 64.410004 9649100 43.849335
"2007-07-26" 64.120003 64.309998 61.470001 62.220001 13781000 42.358406
"2007-07-27" 62.330002 63.59 61.43 62.099998 13275100 42.276714
"2007-07-30" 62.099998 63.029999 61.439999 62.82 8778400 42.766884
"2007-07-31" 63.43 63.689999 60.5 60.57 10525300 41.235115
"2007-08-01" 60.599998 61.389999 59.07 60.540001 11559000 41.214695
"2007-08-02" 60.599998 63.360001 60.080002 63.099998 11270800 42.9575
"2007-08-03" 63.080002 63.25 60.439999 60.509998 8513000 41.194267
"2007-08-06" 60.700001 61.990002 59.220001 61.59 12358100 41.929504
"2007-08-07" 61.040001 63.099998 60.599998 62.66 10898400 42.657959
"2007-08-08" 62.720001 66.260002 62.68 65.209999 13747600 44.393955
"2007-08-09" 64.010002 65.129997 61.950001 62.52 13879700 42.562641
"2007-08-10" 62.009998 63 60.23 62.360001 12264300 42.453716
"2007-08-13" 63.73 64 62.869999 63.27 7312200 43.073235
"2007-08-14" 62.73 62.900002 59.939999 60.09 9085200 40.908325
"2007-08-15" 60.02 60.459999 57.959999 58.110001 11087100 39.560379
"2007-08-16" 57.650002 60.549999 56.060001 59.75 12882000 40.775124
"2007-08-17" 61.27 62.91 59.490002 61.18 11741600 41.750992
"2007-08-20" 61.900002 61.900002 58.5 59.09 10091900 40.324696
"2007-08-21" 60.200001 60.450001 58.290001 60.099998 9771500 41.013962
