"Index" "FE.Open" "FE.High" "FE.Low" "FE.Close" "FE.Volume" "FE.Adjusted"
"2007-01-03" 60.450001 61.23 60.259998 60.459999 1481300 28.936764
"2007-01-04" 60.450001 60.880001 60.25 60.389999 845700 28.903273
"2007-01-05" 60.389999 60.389999 58.900002 59.110001 1370900 28.290653
"2007-01-08" 59 59.48 58.709999 59 2231600 28.238001
"2007-01-09" 59.16 59.279999 58.349998 58.740002 1510600 28.113565
"2007-01-10" 58.599998 58.869999 58.490002 58.669998 1397600 28.080053
"2007-01-11" 58.779999 58.970001 58.52 58.580002 1355600 28.036982
"2007-01-12" 58.400002 58.549999 57.77 57.990002 1681100 27.754602
"2007-01-16" 57.919998 58.25 57.880001 58.060001 1129200 27.788111
"2007-01-17" 58.09 58.490002 57.830002 58.34 1159100 27.922115
"2007-01-18" 58.490002 58.73 58.139999 58.18 847100 27.845541
"2007-01-19" 58.5 58.77 58.330002 58.57 1037500 28.032194
"2007-01-22" 58.57 58.939999 58.09 58.169998 1785600 27.840754
"2007-01-23" 58.080002 58.23 57.880001 57.900002 1572700 27.711533
"2007-01-24" 58.02 58.599998 57.919998 58.580002 1126800 28.036982
"2007-01-25" 58.59 58.799999 58.349998 58.380001 789900 27.941265
"2007-01-26" 59.099998 59.290001 58.400002 58.900002 1790500 28.190142
"2007-01-29" 59.110001 59.279999 58.91 59.099998 2057400 28.285854
"2007-01-30" 59.200001 59.490002 59 59.32 1346500 28.391167
"2007-01-31" 59.32 59.66 59.209999 59.330002 1215900 28.395948
"2007-02-01" 59.360001 60.650002 59.360001 60.57 2020400 28.989412
"2007-02-02" 60.700001 61 60.52 60.84 1670600 29.118643
"2007-02-05" 60.490002 62.169998 60.450001 61.639999 1562300 29.745995
"2007-02-06" 61.860001 61.91 61.650002 61.869999 1104800 29.856993
"2007-02-07" 61.869999 62.5 61.650002 62.290001 1179900 30.059681
"2007-02-08" 62.290001 63.189999 62.200001 63.150002 1168300 30.474682
"2007-02-09" 63.619999 64.349998 63 63.150002 2445700 30.474682
"2007-02-12" 63.169998 63.59 63.029999 63.279999 1377000 30.53742
"2007-02-13" 63.549999 63.59 63.23 63.439999 1425700 30.614618
"2007-02-14" 63.580002 64.169998 63.57 63.84 1391800 30.807655
"2007-02-15" 63.84 64.029999 63.34 63.470001 1639400 30.629116
"2007-02-16" 63.23 63.450001 62.93 63.07 2261000 30.436081
"2007-02-20" 64.25 64.25 63.419998 63.77 1340600 30.773878
"2007-02-21" 63.470001 63.77 62.779999 63.169998 1223200 30.484339
"2007-02-22" 63.18 63.73 63.02 63.380001 926200 30.585672
"2007-02-23" 63.080002 63.66 63.07 63.509998 963200 30.648403
"2007-02-26" 65.5 66.290001 64.32 64.629997 2381800 31.188892
"2007-02-27" 64.639999 64.739998 62.580002 63.189999 1853400 30.493984
"2007-02-28" 63 63.509998 62.34 62.57 2207800 30.194788
"2007-03-01" 62 63.23 61.380001 62.630001 2321600 30.223747
"2007-03-02" 62.5 62.59 61.650002 61.650002 1415900 29.750818
"2007-03-05" 61.200001 62.07 60.849998 61.200001 1863900 29.533659
"2007-03-06" 61.299999 62.18 61.259998 61.950001 1525800 29.895588
"2007-03-07" 61.93 62.310001 61.639999 61.889999 1762200 29.86664
"2007-03-08" 62.200001 62.419998 61.91 62.009998 743400 29.924557
"2007-03-09" 62.830002 62.830002 61.959999 62.27 987500 30.050014
"2007-03-12" 62.169998 62.82 61.970001 62.82 864200 30.315428
"2007-03-13" 62.450001 62.950001 61.740002 61.82 1620000 29.83285
"2007-03-14" 61.830002 62.369999 61.169998 62.080002 1592100 29.958319
"2007-03-15" 61.830002 62.779999 61.57 62.549999 1088900 30.185123
"2007-03-16" 62.959999 63.709999 62.540001 63.110001 2365400 30.455366
"2007-03-19" 63.360001 63.759998 62.759998 63.529999 1156800 30.658068
"2007-03-20" 63.380001 64.889999 63.169998 64.860001 1648900 31.299894
"2007-03-21" 64.720001 66.099998 64.290001 65.68 2593500 31.695599
"2007-03-22" 65.650002 65.860001 65.260002 65.800003 1592000 31.753506
"2007-03-23" 65.599998 66.099998 65.330002 66.050003 1507100 31.874163
"2007-03-26" 65.900002 66.699997 65.699997 66.610001 1944100 32.14439
"2007-03-27" 66.360001 66.559998 65.769997 66.269997 1265200 31.980318
"2007-03-28" 66.25 66.879997 66.139999 66.529999 1357500 32.105782
"2007-03-29" 65.779999 66.900002 65.779999 66.82 1390300 32.245712
"2007-03-30" 66.900002 67.110001 65.389999 66.239998 2072000 31.965839
"2007-04-02" 66.330002 68.019997 66.169998 67.809998 1704300 32.723484
"2007-04-03" 67.889999 68.190002 67.57 67.75 1804800 32.694527
"2007-04-04" 67.629997 68 67.269997 67.389999 1519300 32.520813
"2007-04-05" 67.389999 68.050003 67.269997 68.050003 1318900 32.839306
"2007-04-09" 68.120003 68.790001 68.120003 68.25 1833000 32.935825
"2007-04-10" 68.110001 68.330002 67.980003 68.309998 1085400 32.964752
"2007-04-11" 68.269997 68.419998 68 68.160004 1935100 32.892387
"2007-04-12" 67.839996 68.169998 67 67.019997 2513600 32.342247
"2007-04-13" 67.019997 67.110001 66.690002 66.989998 1474400 32.327785
"2007-04-16" 67.25 67.550003 67.089996 67.5 2176100 32.573887
"2007-04-17" 67.410004 68.160004 67.330002 67.599998 2094300 32.622147
"2007-04-18" 67.5 68.5 67.32 68.279999 1937000 32.950302
"2007-04-19" 69 69 67.68 67.940002 1626200 32.786221
"2007-04-20" 68.099998 68.900002 67.940002 68.849998 1721700 33.225353
"2007-04-23" 69.080002 69.690002 69 69.269997 1067300 33.428047
"2007-04-24" 69.529999 71.019997 69.339996 70.849998 2328200 34.190525
"2007-04-25" 70.900002 71.459999 70.739998 71.230003 1694300 34.373894
"2007-04-26" 71 71.269997 70.550003 70.629997 1345900 34.084347
"2007-04-27" 70.230003 70.290001 69.370003 69.879997 1818100 33.722412
"2007-04-30" 70 70.099998 68.389999 68.440002 2514900 33.027508
"2007-05-01" 68.639999 69.620003 68.410004 69.550003 1987200 33.563164
"2007-05-02" 69.660004 70.529999 69.559998 70.190002 1069300 33.872005
"2007-05-03" 70.519997 70.519997 68.790001 69.639999 1318500 33.847717
"2007-05-04" 69.650002 69.980003 69.5 69.830002 1011400 33.940056
"2007-05-07" 69.860001 71.519997 69.860001 71.519997 1740500 34.761459
"2007-05-08" 70.959999 71.489998 70.769997 71.139999 1176400 34.576775
"2007-05-09" 71.120003 71.550003 70.709999 71.110001 912100 34.562206
"2007-05-10" 70.989998 71.220001 70.239998 70.239998 972200 34.139339
"2007-05-11" 70.650002 70.830002 70.309998 70.830002 1025200 34.426083
"2007-05-14" 70.849998 72.199997 70.849998 71.830002 6291500 34.912128
"2007-05-15" 72.18 72.900002 71.559998 71.68 2872200 34.839218
"2007-05-16" 71.879997 72.239998 71 71.589996 6540000 34.79549
"2007-05-17" 71.139999 71.550003 70.699997 70.75 1418400 34.387234
"2007-05-18" 70.940002 71.18 70.480003 71.18 1488800 34.596214
"2007-05-21" 71.809998 72.230003 71.610001 72.230003 2333900 35.10656
"2007-05-22" 72.25 72.599998 72.089996 72.139999 1901000 35.06282
"2007-05-23" 72.169998 72.459999 70.879997 71.120003 1909600 34.567055
"2007-05-24" 71 71.209999 68.300003 68.470001 2270800 33.279057
"2007-05-25" 68.5 69.07 67.57 68.540001 1950500 33.313072
"2007-05-29" 69.050003 69.629997 68.790001 69.099998 1014100 33.585262
"2007-05-30" 68.529999 69.75 68.360001 69.660004 1395500 33.857445
"2007-05-31" 70.050003 70.169998 69.220001 69.230003 1741900 33.648445
"2007-06-01" 70.07 70.099998 68.699997 69.339996 2055800 33.7019
"2007-06-04" 69.5 69.599998 68.25 69.32 1614400 33.692188
"2007-06-05" 69.32 69.32 67.68 67.720001 2037500 32.914524
"2007-06-06" 67.269997 67.5 66.650002 67.349998 4189600 32.734673
"2007-06-07" 66.870003 67.349998 64.190002 64.730003 3266800 31.461277
"2007-06-08" 64.739998 65.669998 64.419998 65.529999 2806500 31.850107
"2007-06-11" 65.400002 66.059998 65.160004 65.169998 2607600 31.675119
"2007-06-12" 64.57 65.199997 64.150002 64.150002 2090700 31.179359
"2007-06-13" 64.150002 64.980003 64.150002 64.980003 1992200 31.582773
"2007-06-14" 65.120003 65.589996 64.470001 64.800003 1617900 31.495304
"2007-06-15" 65.050003 67.139999 65.050003 66.900002 4293300 32.515968
"2007-06-18" 66.07 67.199997 65.629997 65.720001 1918400 31.942429
"2007-06-19" 65.739998 66.239998 65.400002 65.690002 1470000 31.927881
"2007-06-20" 65.760002 66.209999 63.509998 63.509998 2206300 30.868307
"2007-06-21" 63.299999 64.790001 62.560001 64.489998 2104900 31.344616
"2007-06-22" 65.779999 66.010002 63.549999 63.57 3182400 30.897459
"2007-06-25" 63.700001 65.040001 63.700001 64.209999 2247800 31.208538
"2007-06-26" 64.5 65.309998 63.880001 63.889999 1963500 31.053009
"2007-06-27" 63.369999 64.93 63.07 64.790001 1632900 31.49044
"2007-06-28" 64.790001 65.279999 64.209999 64.239998 1801300 31.22311
"2007-06-29" 64.599998 65.410004 64.059998 64.730003 2131000 31.461277
"2007-07-02" 65.230003 66.919998 65.230003 66.43 2024400 32.287533
"2007-07-03" 66.43 66.699997 65.410004 65.959999 1188100 32.05909
"2007-07-05" 65.970001 66.699997 64.830002 65.870003 1541600 32.015343
"2007-07-06" 65.900002 65.919998 64.720001 65.580002 1089200 31.874403
"2007-07-09" 65.970001 66.449997 65.519997 65.589996 1249000 31.879261
"2007-07-10" 65.389999 65.610001 64.529999 64.669998 2057100 31.4321
"2007-07-11" 64.589996 65.279999 64.519997 65.279999 1193000 31.728586
"2007-07-12" 65.629997 66.110001 65.040001 66.029999 1786300 32.093117
"2007-07-13" 66.029999 67.769997 65.82 67.449997 1448400 32.783295
"2007-07-16" 67.199997 67.589996 65.830002 65.940002 1262700 32.049385
"2007-07-17" 66.089996 66.5 65.519997 65.529999 1519100 31.850107
"2007-07-18" 65.400002 66.389999 65.120003 66.25 1787200 32.200039
"2007-07-19" 66.099998 68.129997 66.010002 68.099998 1846400 33.099216
"2007-07-20" 68.099998 68.309998 66.489998 66.639999 1835000 32.389603
"2007-07-23" 67.330002 68.150002 66.900002 67.089996 1085500 32.608318
"2007-07-24" 66.879997 66.980003 63.98 64.099998 2056700 31.155058
"2007-07-25" 64.800003 65.099998 62.77 63.48 2852500 30.853714
"2007-07-26" 63.119999 63.34 60.07 60.84 4069000 29.570583
"2007-07-27" 60.779999 61.869999 60.43 60.439999 3164900 29.37616
"2007-07-30" 60.150002 60.740002 59.099998 60.220001 3551600 29.269241
"2007-07-31" 62.200001 62.5 60.75 60.75 3420300 29.526834
"2007-08-01" 60.5 63.389999 60.43 63.220001 2782300 30.727346
"2007-08-02" 63.490002 64.489998 62.209999 63.18 12860200 30.707897
"2007-08-03" 62.450001 62.740002 59.689999 59.889999 12530100 29.341038
"2007-08-06" 59.900002 62.689999 59.220001 62.66 2647900 30.698112
"2007-08-07" 62.32 65.059998 61.650002 64.540001 2941300 31.619144
"2007-08-08" 64.290001 65.190002 63.310001 64.260002 3395200 31.481972
"2007-08-09" 62.830002 63.639999 61.330002 61.360001 2810900 30.061224
"2007-08-10" 61.450001 62 59.43 60.279999 8830900 29.532103
"2007-08-13" 61.299999 63.740002 60.75 62.759998 2824800 30.747097
"2007-08-14" 62.73 62.759998 61.389999 61.560001 2076100 30.159201
"2007-08-15" 61.720001 63.130001 60.650002 60.759998 2364300 29.767262
"2007-08-16" 60.060001 61.07 58.75 60.669998 3099500 29.723185
"2007-08-17" 63.560001 63.740002 60.349998 62.75 2925400 30.742203
"2007-08-20" 62.130001 63.060001 61.400002 62.34 12253300 30.541325
"2007-08-21" 62.259998 62.84 61.709999 62.450001 2027300 30.595238
"2007-08-22" 62.790001 63.43 62.560001 63.369999 2119400 31.04594
"2007-08-23" 63.630001 63.810001 62.779999 63.209999 1692200 30.967564
"2007-08-24" 63.369999 63.439999 62.450001 63.330002 2502100 31.026352
"2007-08-27" 63.259998 63.27 60.810001 60.939999 1695800 29.855453
"2007-08-28" 60.810001 61.389999 59.48 59.580002 2945000 29.189171
"2007-08-29" 59.619999 61.279999 59.549999 61.220001 2441000 29.992632
"2007-08-30" 60.200001 61.369999 59.91 61.009998 1780500 29.889746
"2007-08-31" 61.810001 61.91 60.759998 61.439999 1182600 30.100414
"2007-09-04" 61.18 62.209999 61.080002 62.189999 2112000 30.467848
"2007-09-05" 61.799999 62.029999 61.27 61.759998 1254600 30.257185
"2007-09-06" 61.650002 62.639999 61.439999 62.639999 1980600 30.688311
"2007-09-07" 61.91 62.540001 61.23 61.599998 1734200 30.178799
"2007-09-10" 61.900002 62.080002 61.470001 61.84 2470000 30.296373
"2007-09-11" 62.330002 62.5 61.860001 62.240002 2836800 30.492338
"2007-09-12" 62.029999 62.27 61.73 62.060001 2083400 30.404161
"2007-09-13" 62.580002 63.139999 62.48 62.689999 2028000 30.712795
"2007-09-14" 62.25 62.860001 62.18 62.700001 1846500 30.717705
"2007-09-17" 62.299999 62.73 62.220001 62.619999 1844000 30.678513
"2007-09-18" 62.93 63.93 62.720001 63.75 1824200 31.232117
"2007-09-19" 64.099998 65.5 63.93 65.220001 1803700 31.952288
"2007-09-20" 65.07 65.230003 64.260002 64.440002 1191700 31.570156
"2007-09-21" 65.18 65.18 64.440002 64.709999 2139400 31.702427
"2007-09-24" 64.5 64.940002 64.18 64.389999 1273200 31.545658
"2007-09-25" 64.150002 65.510002 64.150002 65.110001 1344000 31.898407
"2007-09-26" 65.43 66.019997 65.239998 65.800003 1644600 32.236446
"2007-09-27" 66.18 66.18 64.699997 64.949997 1210200 31.820009
"2007-09-28" 64.589996 64.940002 63.27 63.34 1752700 31.031242
"2007-10-01" 63.889999 64.849998 63.389999 64.849998 1469300 31.771034
"2007-10-02" 64.610001 64.709999 63.990002 64.269997 1062500 31.486874
"2007-10-03" 63.799999 64.940002 63.799999 64.82 970900 31.75634
"2007-10-04" 64.989998 66.889999 64.699997 66.459999 1453200 32.559795
"2007-10-05" 67 67.599998 66.489998 66.889999 1676700 32.770447
"2007-10-08" 67.059998 67.370003 66.32 66.589996 804800 32.62347
"2007-10-09" 66.800003 67.220001 66.459999 67.099998 1402200 32.873348
"2007-10-10" 66.830002 67.190002 66.639999 66.839996 982600 32.74596
"2007-10-11" 67.739998 68.559998 67.279999 68.099998 1845600 33.363247
"2007-10-12" 68.239998 68.949997 68.099998 68.389999 1260200 33.505318
"2007-10-15" 68.050003 68.559998 66.779999 67.230003 1651800 32.937023
"2007-10-16" 66.949997 67.75 66.910004 67.120003 1479000 32.883133
"2007-10-17" 67.730003 67.919998 66.360001 66.709999 1169900 32.682251
"2007-10-18" 66.529999 67.5 66.269997 66.690002 1380300 32.67247
"2007-10-19" 66.230003 67.040001 65.309998 65.510002 1889800 32.094379
"2007-10-22" 64.989998 65.830002 64.620003 65.650002 1330500 32.162949
"2007-10-23" 65.730003 66.110001 65 65.370003 1453900 32.025784
"2007-10-24" 65.110001 66.239998 65.029999 66.080002 1488800 32.373623
"2007-10-25" 66 67.650002 65.720001 67.370003 1925900 33.005611
"2007-10-26" 67.879997 68.440002 67.129997 68.349998 1272700 33.485733
"2007-10-29" 68.370003 69.809998 68.370003 69.43 1262800 34.014835
"2007-10-30" 69.25 69.919998 68.709999 68.709999 1167400 33.662102
"2007-10-31" 68.959999 69.860001 68.82 69.699997 1427700 34.14711
"2007-11-01" 69.099998 69.760002 68.510002 68.75 1688100 33.681686
"2007-11-02" 68.870003 69.629997 68.389999 69.150002 1418400 33.877651
"2007-11-05" 68.57 69.739998 68.080002 69.150002 1118000 34.124397
"2007-11-06" 69.650002 69.650002 67.620003 68.089996 2032400 33.601311
"2007-11-07" 67.349998 67.989998 66.849998 66.879997 2404600 33.004189
"2007-11-08" 66.830002 67.849998 66.699997 67.5 2241600 33.310154
"2007-11-09" 66.739998 68.129997 66.620003 67.529999 1878300 33.324966
"2007-11-12" 67.480003 67.970001 66.550003 66.779999 2284800 32.954842
"2007-11-13" 67.209999 67.449997 66.309998 67.330002 1743900 33.226257
"2007-11-14" 67.419998 67.800003 66.919998 67 1684600 33.063416
"2007-11-15" 66.599998 67.75 66.599998 67.32 1677800 33.221325
"2007-11-16" 67.809998 68.07 66.790001 67.660004 1525000 33.389114
"2007-11-19" 67.169998 68.220001 67.169998 67.739998 1866900 33.4286
"2007-11-20" 67.709999 68.769997 67.480003 68.370003 2458900 33.739475
