"Index" "DOV.Open" "DOV.High" "DOV.Low" "DOV.Close" "DOV.Volume" "DOV.Adjusted"
"2007-01-03" 32.946999 33.262054 32.538094 32.712379 1474933 23.339708
"2007-01-04" 32.779411 32.987217 32.424133 32.853149 1309493 23.440149
"2007-01-05" 32.839745 32.839745 32.316879 32.444244 891494 23.148394
"2007-01-08" 32.283363 32.578312 32.088966 32.47776 1268917 23.172316
"2007-01-09" 32.564903 32.759304 32.43084 32.638641 1030379 23.287098
"2007-01-10" 32.410728 32.598423 32.33699 32.538094 1450169 23.215359
"2007-01-11" 32.645348 32.859852 32.578312 32.799522 1122572 23.401884
"2007-01-12" 32.806225 33.094471 32.712379 32.920181 1057530 23.48797
"2007-01-16" 32.578312 32.766006 32.370506 32.692268 1938432 23.325371
"2007-01-17" 32.524685 32.712379 32.343693 32.497871 1989750 23.186657
"2007-01-18" 32.665455 32.799522 32.350399 32.464355 1291741 23.162748
"2007-01-19" 32.531387 32.812927 32.464355 32.766006 1510288 23.377974
"2007-01-22" 32.739193 32.745895 32.176109 32.370506 1205366 23.095791
"2007-01-23" 32.357101 32.658752 32.357101 32.551498 2099396 23.224918
"2007-01-24" 32.611828 32.719082 32.383915 32.61853 2030923 23.272747
"2007-01-25" 32.605125 32.672157 31.97501 32.035339 2125950 22.856646
"2007-01-26" 31.995119 32.162704 31.720282 31.820833 1771351 22.703608
"2007-01-29" 31.586214 32.176109 31.586214 31.968307 1646787 22.80883
"2007-01-30" 32.109077 32.25655 31.988417 32.169407 1782391 22.952311
"2007-01-31" 32.042042 33.516781 31.981712 33.24865 3086812 23.722322
"2007-02-01" 33.376011 34.019535 33.329086 33.932388 2585272 24.210161
"2007-02-02" 33.986015 34.133492 33.550301 33.697773 2502925 24.042768
"2007-02-05" 33.697773 34.086567 33.563705 33.939095 1596215 24.214935
"2007-02-06" 34.006126 34.019535 33.603924 33.798325 1679159 24.114515
"2007-02-07" 33.744698 34.046349 33.617332 33.992722 1421378 24.253204
"2007-02-08" 33.992722 33.992722 33.731289 33.912281 876874 24.195816
"2007-02-09" 34.019535 34.11338 33.516781 33.677662 1331423 24.028421
"2007-02-12" 33.7514 33.865356 33.603924 33.791618 1082144 24.109728
"2007-02-13" 33.918983 33.999424 33.697773 33.791618 1102284 24.109728
