"Index" "ICE.Open" "ICE.High" "ICE.Low" "ICE.Close" "ICE.Volume" "ICE.Adjusted"
"2007-01-03" 21.676001 23.612 21.629999 23.143999 28144500 20.431627
"2007-01-04" 23.143999 24.280001 22.827999 24.202 18900500 21.365631
"2007-01-05" 24.379999 25.33 24.200001 24.912001 21982000 21.992426
"2007-01-08" 25.07 25.549999 24.49 25.138 16032500 22.191935
"2007-01-09" 25.138 25.243999 24.5 24.93 13874500 22.008312
"2007-01-10" 24.865999 27.219999 24.601999 27.049999 26275000 23.879858
"2007-01-11" 27.049999 27.549999 26.552 27.308001 16999000 24.10763
"2007-01-12" 26.864 27.1 26.247999 26.945999 16014000 23.788042
"2007-01-16" 26.91 27.549999 25.587999 25.837999 20353500 22.809896
"2007-01-17" 25.514 26.790001 25.5 26.643999 19927000 23.521441
"2007-01-18" 26.552 26.554001 25.459999 25.837999 18915500 22.809896
"2007-01-19" 25.464001 25.799999 24.809999 25.382 18061000 22.407341
"2007-01-22" 25.382 25.738001 24.712 24.82 12591500 21.911209
"2007-01-23" 24.816 26.059999 24.632 25.9 13824000 22.864637
"2007-01-24" 26.17 27.4 26.049999 27.280001 15428500 24.082909
"2007-01-25" 27.620001 28.1 26.162001 26.348 20039000 23.260134
"2007-01-26" 26.525999 27.066 25.780001 27.034 17612000 23.865734
"2007-01-29" 27.1 27.136 25.799999 25.976 14780500 22.931723
"2007-01-30" 25.52 26.478001 25.42 26.288 14547500 23.207161
"2007-01-31" 26.204 26.799999 25.823999 26.110001 9656000 23.050028
"2007-02-01" 26.389999 27.246 26.389999 27.110001 13712000 23.932823
"2007-02-02" 27.6 28.556 27.6 28.493999 24137500 25.154633
"2007-02-05" 28.540001 28.799999 28.032 28.719999 12920500 25.354147
"2007-02-06" 28.799999 28.799999 27.584 28.572001 17735000 25.223488
"2007-02-07" 28.1 29.620001 27.6 29.610001 26554500 26.139843
"2007-02-08" 29.752001 31.610001 29.34 30.41 36817500 26.846085
"2007-02-09" 30.1 30.959999 29.030001 29.872 24867500 26.371136
"2007-02-12" 29.76 29.84 28.524 28.714001 17914000 25.348848
"2007-02-13" 28.954 30.25 28.91 30.172001 20974500 26.635975
"2007-02-14" 30.200001 30.9 29.65 30.327999 18046500 26.773691
"2007-02-15" 30.497999 31.266001 30.299999 31.016001 16693000 27.381065
"2007-02-16" 30.98 31.664 30.52 31.664 18762500 27.953121
"2007-02-20" 31.9 32.976002 31.514 32.518002 24665500 28.707037
"2007-02-21" 32.720001 33.400002 32.397999 32.771999 27973500 28.931263
"2007-02-22" 32.948002 33.02 31.908001 32.116001 21925500 28.352144
"2007-02-23" 32.029999 32.799999 31.84 32.388 21161500 28.592276
"2007-02-26" 32.630001 32.995998 31.212 31.441999 21256500 27.757139
"2007-02-27" 30.459999 30.716 28.622 28.916 33598500 25.527176
"2007-02-28" 29.062 30.200001 28.139999 30.153999 42330500 26.620087
"2007-03-01" 29.1 30.672001 28.530001 30.115999 35373500 26.586538
"2007-03-02" 29.6 29.9 27.538 27.716 53064500 24.467808
"2007-03-05" 27.176001 28.450001 26.85 27.422001 41687000 24.20826
"2007-03-06" 28.5 28.798 27.702 28.486 40535500 25.147564
"2007-03-07" 28.129999 28.294001 25.76 25.82 63662500 22.79401
"2007-03-08" 26.219999 27.296 25.700001 26.271999 68043000 23.193037
"2007-03-09" 26.76 26.898001 25.469999 26.200001 38464500 23.129473
