"Index" "MSCI.Open" "MSCI.High" "MSCI.Low" "MSCI.Close" "MSCI.Volume" "MSCI.Adjusted"
"2007-11-15" 23 28.450001 22.059999 26.1 11770500 23.707399
"2007-11-16" 25.98 25.98 23.6 24.959999 1242900 22.671898
"2007-11-19" 24.709999 25.75 24.530001 25.75 469500 23.389479
"2007-11-20" 25.42 29.209999 25.26 27.32 522200 24.815557
"2007-11-21" 27 27.129999 25.940001 26.65 167500 24.206978
"2007-11-23" 27.299999 28.33 26.82 27.4 100700 24.888222
"2007-11-26" 27.99 29.49 27.530001 27.799999 438300 25.251551
"2007-11-27" 28.23 28.75 26.280001 26.98 305800 24.50672
"2007-11-28" 27.120001 27.620001 26.68 27.299999 273600 24.79739
"2007-11-29" 26.610001 27.99 26.6 27.299999 110600 24.79739
"2007-11-30" 27.6 28.700001 27.1 27.65 524000 25.115307
"2007-12-03" 27.700001 28.200001 27.4 27.969999 83600 25.405968
"2007-12-04" 27.709999 29.75 27.24 29.35 387400 26.659464
"2007-12-05" 32.68 32.68 28.889999 29.280001 207200 26.595877
"2007-12-06" 29 29.42 28.440001 28.91 97700 26.259794
"2007-12-07" 29.059999 29.1 28.5 28.879999 82500 26.232546
"2007-12-10" 28.59 29.950001 28.59 29 177900 26.341547
"2007-12-11" 28.99 29.4 28.25 29 236200 26.341547
"2007-12-12" 29.360001 29.360001 28.299999 28.48 64700 25.869217
"2007-12-13" 27.93 29 27.93 28.940001 78000 26.287054
"2007-12-14" 28.83 28.940001 28.33 28.719999 118200 26.087214
"2007-12-17" 27.940001 29.059999 27.67 27.98 128600 25.415049
"2007-12-18" 28 28.799999 28 28.5 132400 25.887381
"2007-12-19" 28.559999 29.35 28.559999 28.950001 197600 26.296133
"2007-12-20" 28.950001 29.01 28.889999 28.889999 197800 26.241632
"2007-12-21" 29.5 34.330002 29.4 33.720001 498600 30.62886
"2007-12-24" 33.599998 34.400002 32.549999 33.919998 142000 30.810524
"2007-12-26" 33.919998 36 33.799999 34.349998 228300 31.201105
"2007-12-27" 34.349998 37.189999 33.799999 36.549999 194600 33.199432
"2007-12-28" 36.450001 38.27 36 37.32 165900 33.898853
"2007-12-31" 37.450001 38.400002 36 38.400002 136200 34.879845
"2008-01-02" 37.82 37.950001 33.119999 33.849998 442900 30.746939
"2008-01-03" 33.849998 33.849998 30.559999 30.790001 395900 27.967455
"2008-01-04" 28.74 31 28.110001 30.15 354100 27.386122
"2008-01-07" 29.75 29.75 27.75 28.139999 383000 25.560387
"2008-01-08" 28 28.15 26.01 26.629999 183900 24.188803
"2008-01-09" 27.299999 29.75 24.74 27.76 383400 25.215219
"2008-01-10" 29.299999 31.4 26.799999 29.639999 531500 26.922874
"2008-01-11" 29.42 32.77 29.209999 30.43 121900 27.640459
"2008-01-14" 30.1 30.5 29.75 30.5 198300 27.704044
"2008-01-15" 30.5 30.93 29.719999 30.709999 74200 27.894794
"2008-01-16" 30.76 30.76 28.5 29.299999 123700 26.614048
"2008-01-17" 29.450001 29.450001 28.65 28.99 122400 26.332462
"2008-01-18" 29.709999 29.75 29 29.32 238900 26.632212
"2008-01-22" 28.15 29.200001 27.33 28.9 193000 26.250711
"2008-01-23" 28.98 32.470001 28.379999 31.16 193100 28.303541
"2008-01-24" 30.780001 33 30.24 32.169998 305000 29.220951
"2008-01-25" 32.400002 32.580002 31.129999 31.780001 148700 28.866711
"2008-01-28" 31.299999 34 30.030001 33.060001 222500 30.029367
"2008-01-29" 32.669998 33.459999 32.349998 32.779999 142600 29.77503
"2008-01-30" 32.77 33 31 32.700001 117300 29.702362
"2008-01-31" 32.5 33 32.099998 32.970001 114800 29.947609
"2008-02-01" 32.970001 35.970001 32.400002 34.599998 134600 31.428185
"2008-02-04" 34.599998 34.900002 33 33.48 75300 30.410858
"2008-02-05" 33.48 33.48 31.98 32.869999 109100 29.856785
"2008-02-06" 32.700001 32.720001 31.09 31.370001 146000 28.494287
"2008-02-07" 31.4 32 29.52 29.709999 128000 26.986465
"2008-02-08" 30.15 31.33 30.139999 31.33 103400 28.457958
"2008-02-11" 31.35 31.950001 31 31.43 94600 28.548788
"2008-02-12" 31.25 31.940001 30.43 31.299999 147800 28.430704
"2008-02-13" 31.200001 33.869999 31.200001 33.830002 114200 30.728792
"2008-02-14" 33.59 33.799999 32.150002 33.279999 103100 30.229191
"2008-02-15" 33.279999 33.32 30.33 31.74 142700 28.830366
"2008-02-19" 31.700001 32.439999 30.360001 32.099998 183500 29.157364
"2008-02-20" 31.84 34.34 30.940001 32.209999 181300 29.257282
"2008-02-21" 32.299999 33.990002 31.6 33.599998 207100 30.519863
"2008-02-22" 33.5 34.150002 32.48 33.73 123500 30.637945
"2008-02-25" 33.75 34.169998 32.849998 33.09 158500 30.056618
"2008-02-26" 33.34 35.360001 32.619999 33.919998 186100 30.810524
"2008-02-27" 33.75 34.290001 31.32 32 220300 29.066534
"2008-02-28" 32.549999 32.549999 29.18 31.09 344100 28.239952
"2008-02-29" 32.360001 32.360001 29.33 29.73 216900 27.004627
"2008-03-03" 29.5 30.35 28.290001 29.07 188100 26.40513
"2008-03-04" 27.82 29.870001 27.190001 29.360001 177400 26.668554
"2008-03-05" 29.92 32.099998 29.719999 31.65 221400 28.748625
"2008-03-06" 31.639999 31.84 29.559999 29.860001 214800 27.122713
"2008-03-07" 29.76 30.209999 26.469999 28.26 268800 25.669384
"2008-03-10" 28.389999 28.389999 26.84 27.01 85800 24.533976
"2008-03-11" 27.49 30.34 27.25 30.290001 166300 27.513292
"2008-03-12" 30.059999 31 29.6 29.83 194800 27.095459
"2008-03-13" 29.6 30.360001 28.76 29.940001 176700 27.195377
"2008-03-14" 29.940001 29.940001 26.25 26.860001 306100 24.397718
"2008-03-17" 26.33 26.540001 23.290001 23.57 367900 21.409321
"2008-03-18" 25.780001 27.540001 23.73 27 563900 24.524891
"2008-03-19" 26.620001 27.75 25.9 26.690001 275700 24.243307
"2008-03-20" 26.440001 28.209999 25.9 28.209999 171400 25.623972
"2008-03-24" 28.360001 30.91 28.219999 30.07 219600 27.313459
"2008-03-25" 29.74 30.9 28.620001 30.389999 163400 27.604124
"2008-03-26" 30.49 30.790001 29.4 29.41 242400 26.713961
"2008-03-27" 29.700001 30.85 29.33 29.700001 173700 26.977385
"2008-03-28" 29.6 31.5 29.379999 31.25 137600 28.385298
"2008-03-31" 30.91 30.91 28.07 29.75 230600 27.022795
"2008-04-01" 29.82 31.51 29.66 30.889999 116300 28.058292
