"Index" "CNC.Open" "CNC.High" "CNC.Low" "CNC.Close" "CNC.Volume" "CNC.Adjusted"
"2007-01-03" 6.225 6.3 6.0525 6.1575 2918400 6.1575
"2007-01-04" 6.14 6.2425 6.06 6.205 3549200 6.205
"2007-01-05" 6.175 6.3 6.145 6.2 1698400 6.2
"2007-01-08" 6.1925 6.2775 6.0525 6.2425 875200 6.2425
"2007-01-09" 6.2625 6.275 6.155 6.25 1250400 6.25
"2007-01-10" 6.2275 6.2275 6.0875 6.14 1158000 6.14
"2007-01-11" 6.1575 6.485 6.1575 6.345 2418400 6.345
"2007-01-12" 6.3325 6.4925 6.3325 6.4775 1475600 6.4775
"2007-01-16" 6.4775 6.665 6.4625 6.6525 1288800 6.6525
"2007-01-17" 6.655 6.655 6.495 6.5075 1038000 6.5075
"2007-01-18" 6.4925 6.5775 6.225 6.35 2576000 6.35
"2007-01-19" 6.375 6.4125 6.2775 6.395 924800 6.395
"2007-01-22" 6.395 6.395 6.2075 6.2525 1366400 6.2525
"2007-01-23" 6.245 6.3875 6.1675 6.2525 1251200 6.2525
"2007-01-24" 6.2525 6.425 6.2175 6.415 1070400 6.415
"2007-01-25" 6.41 6.425 6.1675 6.2425 1248400 6.2425
"2007-01-26" 6.265 6.3 6.1075 6.2475 1117600 6.2475
"2007-01-29" 6.245 6.36 6.18 6.2175 863600 6.2175
"2007-01-30" 6.25 6.2875 6.2025 6.245 1562400 6.245
"2007-01-31" 6.2475 6.3075 6.1775 6.23 1468400 6.23
"2007-02-01" 6.2725 6.4625 6.2725 6.46 2111200 6.46
"2007-02-02" 6.43 6.595 6.375 6.435 1118800 6.435
"2007-02-05" 6.41 6.4475 6.24 6.3975 2400400 6.3975
"2007-02-06" 6.2125 6.3725 6.03 6.225 5504800 6.225
"2007-02-07" 6.2 6.2 5.345 6.125 5073600 6.125
"2007-02-08" 6.125 6.125 5.8025 5.875 3988400 5.875
"2007-02-09" 5.9 5.94 5.8125 5.87 2155600 5.87
"2007-02-12" 5.8675 5.9675 5.7975 5.925 2185200 5.925
"2007-02-13" 5.9275 5.99 5.8725 5.95 1407600 5.95
"2007-02-14" 5.95 6 5.915 5.945 1766800 5.945
"2007-02-15" 5.95 6.0575 5.89 6.0075 1445200 6.0075
"2007-02-16" 6.0075 6.085 5.975 6.0225 1444000 6.0225
"2007-02-20" 5.9875 6.2225 5.9325 6.175 1380800 6.175
"2007-02-21" 6.175 6.245 6.075 6.16 1442400 6.16
"2007-02-22" 6.16 6.215 6.115 6.195 929200 6.195
"2007-02-23" 6.195 6.195 6.05 6.0825 792400 6.0825
"2007-02-26" 6.085 6.0925 5.9825 6.0425 1197200 6.0425
"2007-02-27" 6 6.0325 5.885 5.9525 2020800 5.9525
"2007-02-28" 5.9525 6.1825 5.9525 6.0225 2584000 6.0225
"2007-03-01" 5.9375 6.25 5.825 6.15 2004000 6.15
"2007-03-02" 6.1325 6.1325 5.9225 5.9625 1524800 5.9625
"2007-03-05" 5.905 6.0875 5.875 5.9275 1176400 5.9275
"2007-03-06" 5.97 6.0275 5.905 5.995 1146400 5.995
"2007-03-07" 5.9825 6 5.835 5.89 1310800 5.89
"2007-03-08" 5.9125 5.9375 5.6825 5.7 3564800 5.7
"2007-03-09" 5.7525 5.785 5.655 5.695 3396800 5.695
"2007-03-12" 5.7625 5.8775 5.71 5.85 3710400 5.85
"2007-03-13" 5.805 5.8625 5.7025 5.71 2585600 5.71
"2007-03-14" 5.575 5.675 5.4125 5.4975 4230800 5.4975
"2007-03-15" 5.4775 5.52 5.465 5.495 2411200 5.495
"2007-03-16" 5.4975 5.57 5.4625 5.4775 2670400 5.4775
"2007-03-19" 5.5 5.55 5.4275 5.4925 3143600 5.4925
"2007-03-20" 5.48 5.495 5.3475 5.44 4523200 5.44
"2007-03-21" 5.47 5.62 5.4625 5.59 2402000 5.59
"2007-03-22" 5.5975 5.65 5.565 5.61 922800 5.61
"2007-03-23" 5.59 5.63 5.53 5.5375 1447600 5.5375
"2007-03-26" 5.53 5.575 5.435 5.4725 1757200 5.4725
"2007-03-27" 5.45 5.45 5.3125 5.325 2881600 5.325
"2007-03-28" 5.3075 5.3075 5.2175 5.2475 4016000 5.2475
"2007-03-29" 5.2625 5.3375 5.17 5.23 2630800 5.23
"2007-03-30" 5.215 5.28 5.215 5.2475 1687600 5.2475
"2007-04-02" 5.2475 5.3775 5.2025 5.345 2896800 5.345
"2007-04-03" 5.385 5.6375 5.355 5.535 3841600 5.535
"2007-04-04" 5.55 5.665 5.5475 5.6625 2571200 5.6625
"2007-04-05" 5.6825 5.71 5.5725 5.5975 2349200 5.5975
"2007-04-09" 5.615 5.775 5.6025 5.7175 1981200 5.7175
"2007-04-10" 5.7 5.7275 5.62 5.645 1323200 5.645
"2007-04-11" 5.6625 5.6875 5.53 5.58 1618000 5.58
"2007-04-12" 5.575 5.6225 5.525 5.6 1718800 5.6
"2007-04-13" 5.595 5.6725 5.565 5.6475 2074400 5.6475
"2007-04-16" 5.6925 5.9 5.67 5.875 1868400 5.875
"2007-04-17" 5.865 5.9125 5.8 5.8225 1419600 5.8225
"2007-04-18" 5.805 6.055 5.775 5.945 2990800 5.945
"2007-04-19" 5.9375 5.9375 5.77 5.86 1718000 5.86
"2007-04-20" 5.92 6 5.86 5.955 1226000 5.955
"2007-04-23" 5.92 6.07 5.8825 5.995 1608000 5.995
"2007-04-24" 5.95 5.9525 5.46 5.5525 9345600 5.5525
"2007-04-25" 5.57 5.595 5.45 5.5425 2604800 5.5425
"2007-04-26" 5.53 5.5875 5.2975 5.3625 3710800 5.3625
"2007-04-27" 5.3575 5.3625 5.22 5.25 2170800 5.25
"2007-04-30" 5.2425 5.305 5.0225 5.2025 5179200 5.2025
"2007-05-01" 5.2025 5.4175 5.1925 5.285 4638400 5.285
"2007-05-02" 5.3 5.5 5.3 5.4075 2830000 5.4075
"2007-05-03" 5.43 5.6025 5.36 5.365 3099600 5.365
"2007-05-04" 5.4 5.42 5.3 5.32 2458000 5.32
"2007-05-07" 5.3375 5.485 5.3375 5.465 2694800 5.465
"2007-05-08" 5.4575 5.545 5.4025 5.5375 1978400 5.5375
"2007-05-09" 5.5275 5.63 5.49 5.5425 1168800 5.5425
"2007-05-10" 5.495 5.515 5.38 5.4125 1283600 5.4125
"2007-05-11" 5.425 5.5525 5.425 5.5475 986000 5.5475
"2007-05-14" 5.535 5.575 5.475 5.5125 2214800 5.5125
"2007-05-15" 5.49 5.5875 5.4025 5.415 1727600 5.415
"2007-05-16" 5.4175 5.5475 5.35 5.4225 4685200 5.4225
"2007-05-17" 5.4225 5.515 5.345 5.3475 3156400 5.3475
"2007-05-18" 5.3475 5.3575 5.1975 5.3425 1926800 5.3425
"2007-05-21" 5.3325 5.64 5.31 5.5575 3011200 5.5575
"2007-05-22" 5.55 5.6175 5.465 5.5925 1853200 5.5925
"2007-05-23" 5.59 5.6725 5.485 5.5025 1097600 5.5025
"2007-05-24" 5.485 5.5875 5.4325 5.455 2054000 5.455
"2007-05-25" 5.4875 5.5175 5.3925 5.435 1474800 5.435
"2007-05-29" 5.4175 5.5725 5.39 5.5525 2574400 5.5525
"2007-05-30" 5.485 5.52 5.3625 5.4725 1706000 5.4725
"2007-05-31" 5.5125 5.7825 5.5125 5.7475 3684400 5.7475
"2007-06-01" 5.7625 5.905 5.7275 5.8375 3638400 5.8375
"2007-06-04" 5.8375 5.865 5.655 5.705 2881600 5.705
"2007-06-05" 5.685 5.685 5.5725 5.63 1608000 5.63
"2007-06-06" 5.5875 5.5875 5.4675 5.5 1756800 5.5
"2007-06-07" 5.4825 5.5875 5.39 5.415 2408400 5.415
"2007-06-08" 5.4125 5.495 5.3725 5.445 1883600 5.445
"2007-06-11" 5.42 5.435 5.3375 5.41 2252800 5.41
"2007-06-12" 5.3825 5.4375 5.1725 5.2425 4414800 5.2425
"2007-06-13" 5.25 5.2975 5.1675 5.2 3756400 5.2
"2007-06-14" 5.1925 5.195 5.07 5.0825 3978800 5.0825
"2007-06-15" 5.1775 5.2325 5.07 5.0825 3379200 5.0825
"2007-06-18" 5.085 5.1 4.9775 5.005 3864400 5.005
"2007-06-19" 4.9875 5.0025 4.8475 4.87 4145600 4.87
"2007-06-20" 5.165 5.2475 4.8375 4.8825 5414800 4.8825
"2007-06-21" 4.8775 5.1 4.8775 5.1 3653200 5.1
"2007-06-22" 5.08 5.19 5.035 5.19 7627200 5.19
"2007-06-25" 5.19 5.3675 5.07 5.08 6214000 5.08
"2007-06-26" 5.2625 5.4825 5.25 5.3475 7094800 5.3475
"2007-06-27" 5.3 5.38 5.1975 5.35 3156800 5.35
"2007-06-28" 5.36 5.515 5.36 5.4675 2882800 5.4675
"2007-06-29" 5.495 5.6075 5.315 5.355 2063200 5.355
"2007-07-02" 5.3875 5.55 5.3375 5.545 2182800 5.545
"2007-07-03" 5.5175 5.52 5.42 5.425 1080000 5.425
"2007-07-05" 5.4375 5.5275 5.3375 5.4575 2332000 5.4575
"2007-07-06" 5.5 5.58 5.4125 5.4925 1753600 5.4925
"2007-07-09" 5.49 5.5425 5.49 5.53 1386000 5.53
"2007-07-10" 5.49 5.5175 5.435 5.4425 1790400 5.4425
"2007-07-11" 5.44 5.5575 5.4325 5.4525 1301200 5.4525
"2007-07-12" 5.5075 5.625 5.5075 5.605 1407600 5.605
"2007-07-13" 5.605 5.605 5.45 5.5175 818800 5.5175
"2007-07-16" 5.4825 5.5125 5.2625 5.31 3386000 5.31
"2007-07-17" 5.31 5.4375 5.2175 5.2275 2292400 5.2275
"2007-07-18" 5.2175 5.375 5.21 5.355 2017600 5.355
"2007-07-19" 5.355 5.375 5.2675 5.2975 3500800 5.2975
"2007-07-20" 5.285 5.3 5.0775 5.145 3083600 5.145
"2007-07-23" 5.1875 5.2375 5.1125 5.2025 3717200 5.2025
"2007-07-24" 5.75 5.9475 5.6075 5.63 9020800 5.63
"2007-07-25" 5.7125 5.7325 5.5025 5.705 5178400 5.705
"2007-07-26" 5.5875 5.61 5.39 5.45 4830400 5.45
"2007-07-27" 5.4375 5.54 5.3475 5.3575 3561600 5.3575
"2007-07-30" 5.345 5.43 5.215 5.3825 3616800 5.3825
"2007-07-31" 5.515 5.735 5.3875 5.4025 3730800 5.4025
"2007-08-01" 5.375 5.5275 5.2325 5.51 5074400 5.51
"2007-08-02" 5.5025 5.5425 5.31 5.4025 3072000 5.4025
"2007-08-03" 5.385 5.4125 5.225 5.2375 4820400 5.2375
"2007-08-06" 5.25 5.275 5.1275 5.2075 4123200 5.2075
"2007-08-07" 5.17 5.1725 4.8225 5.0575 7372400 5.0575
"2007-08-08" 5.0825 5.0825 4.6025 4.735 10926400 4.735
"2007-08-09" 4.6175 4.7075 4.4125 4.5675 12489200 4.5675
"2007-08-10" 4.5175 5.2 4.4475 5.06 11257200 5.06
"2007-08-13" 5.2175 5.3125 4.9 4.9875 5107200 4.9875
"2007-08-14" 5.025 5.1675 4.9625 4.99 2970000 4.99
"2007-08-15" 4.975 5.125 4.8175 4.8525 2232800 4.8525
"2007-08-16" 4.845 5.0325 4.755 5.0075 3925600 5.0075
"2007-08-17" 5.22 5.245 4.85 4.8725 2834400 4.8725
"2007-08-20" 4.885 4.955 4.8375 4.9125 1482800 4.9125
"2007-08-21" 4.905 5.0175 4.835 4.955 1550800 4.955
"2007-08-22" 4.995 5 4.9275 4.9525 1565200 4.9525
"2007-08-23" 4.975 5 4.9175 4.95 1480800 4.95
