"Index" "COO.Open" "COO.High" "COO.Low" "COO.Close" "COO.Volume" "COO.Adjusted"
"2007-01-03" 43.91 44.200001 43.52 43.790001 761100 43.306168
"2007-01-04" 44.02 46.889999 44.02 45.610001 3537100 45.106049
"2007-01-05" 45.09 47.509998 45.09 47.009998 2134100 46.490582
"2007-01-08" 46.860001 47.630001 45.970001 46.75 1209100 46.233463
"2007-01-09" 46.630001 46.630001 45.939999 46.259998 563300 45.748882
"2007-01-10" 46.349998 51.98 45.990002 51.389999 5484300 50.822193
"2007-01-11" 52.060001 53 51.029999 51.439999 2874800 50.871628
"2007-01-12" 51.5 52.049999 51.310001 51.639999 809600 51.06942
"2007-01-16" 51.459999 51.810001 50.869999 51.48 1124900 50.911198
"2007-01-17" 51.48 51.5 49.950001 50.650002 1338300 50.09037
"2007-01-18" 50.549999 50.549999 49.470001 50.189999 965700 49.635441
"2007-01-19" 50.599998 50.700001 49.990002 50.080002 870900 49.52668
"2007-01-22" 45.5 47.639999 45.490002 46.830002 2807700 46.312569
"2007-01-23" 46.990002 47.82 46.5 47.599998 1236500 47.074078
"2007-01-24" 47.650002 47.669998 47.169998 47.610001 634900 47.083958
"2007-01-25" 47.619999 48.27 47.27 47.91 1056000 47.38065
"2007-01-26" 47.740002 47.849998 47.049999 47.169998 704500 46.648819
"2007-01-29" 47.27 47.330002 46.259998 46.740002 707200 46.223572
"2007-01-30" 47.060001 47.09 46.43 46.68 502100 46.16423
"2007-01-31" 46.639999 47.759998 46.490002 47.700001 882300 47.172966
"2007-02-01" 48 49 47.900002 48.299999 772800 47.766331
"2007-02-02" 48.119999 48.740002 47.98 48.360001 598800 47.825676
"2007-02-05" 48.110001 48.299999 47.34 47.75 771900 47.222408
"2007-02-06" 47.75 47.950001 46.490002 47.209999 926700 46.688377
"2007-02-07" 47.16 47.299999 46.080002 46.330002 1038600 45.818104
"2007-02-08" 46.380001 46.860001 46.130001 46.66 611700 46.144447
"2007-02-09" 46.73 47.02 46.330002 46.349998 378400 45.837879
"2007-02-12" 46.360001 46.400002 45.860001 46.049999 624500 45.541187
"2007-02-13" 46.049999 46.310001 45.740002 46.080002 608000 45.570862
"2007-02-14" 46.080002 46.759998 45.950001 46.139999 1146000 45.630192
"2007-02-15" 46.189999 46.549999 45.849998 46.41 1122300 45.897224
