"Index" "WMB.Open" "WMB.High" "WMB.Low" "WMB.Close" "WMB.Volume" "WMB.Adjusted"
"2007-01-03" 21.293024 21.293024 20.706079 20.942488 11185599 9.905627
"2007-01-04" 21.309328 21.676168 20.608255 20.885424 5996811 9.878632
"2007-01-05" 20.82836 21.129984 20.738688 20.999552 5845559 9.932614
"2007-01-08" 20.999552 21.382696 20.975096 21.138136 4716757 9.998164
"2007-01-09" 21.048464 21.097376 20.551191 20.86912 6088322 9.870924
"2007-01-10" 20.86912 20.86912 20.518583 20.640863 7153582 9.762959
"2007-01-11" 20.640863 21.293024 20.543039 20.673471 5975098 9.778381
"2007-01-12" 20.673471 21.146288 20.640863 21.056616 5579858 9.959606
"2007-01-16" 21.081072 21.1952 20.820208 20.926184 4224607 9.89791
"2007-01-17" 20.926184 21.252264 20.82836 21.187048 4881501 10.021301
"2007-01-18" 21.27672 21.529432 20.90988 20.983248 4925662 9.924904
"2007-01-19" 21.11368 21.513128 21.089224 21.48052 4572866 10.160111
"2007-01-22" 21.594648 21.782145 21.496824 21.64356 5061335 10.237226
"2007-01-23" 21.668016 22.173441 21.668016 22.116377 3757974 10.460864
"2007-01-24" 22.018553 22.157137 21.619104 22.132681 3468474 10.468575
"2007-01-25" 22.067465 22.124529 21.635408 21.676168 2768400 10.252647
"2007-01-26" 21.72508 21.879969 21.537584 21.619104 2888862 10.225657
"2007-01-29" 21.56204 21.757689 21.35824 21.52128 4492395 10.17939
"2007-01-30" 21.6028 22.059313 21.56204 21.977793 5216511 10.395313
"2007-01-31" 21.969641 22.197895 21.692472 22.002249 3810476 10.40688
"2007-02-01" 22.116377 22.344631 22.018553 22.238655 5008587 10.518703
"2007-02-02" 22.303871 22.417999 22.083769 22.352783 4091021 10.572683
"2007-02-05" 21.937033 22.564735 21.847361 22.303871 6864818 10.54955
"2007-02-06" 22.442455 22.450607 22.059313 22.214199 4252331 10.50713
"2007-02-07" 22.214199 22.475063 22.181593 22.295719 5875859 10.545693
"2007-02-08" 22.377239 22.727776 22.206047 22.70332 4897939 10.738484
"2007-02-09" 22.809296 22.972336 22.556583 22.670712 4899289 10.723061
"2007-02-12" 22.678864 22.678864 22.328327 22.466911 3086359 10.626667
"2007-02-13" 22.515823 22.678864 22.426151 22.597343 3790726 10.688354
"2007-02-14" 22.719624 22.776688 22.393543 22.483215 5151987 10.634377
"2007-02-15" 22.74408 22.74408 22.140833 22.312023 3609176 10.553405
"2007-02-16" 22.230503 22.426151 22.165289 22.417999 4140702 10.603526
"2007-02-20" 22.417999 22.605495 22.295719 22.605495 4186457 10.692214
"2007-02-21" 22.605495 23.135376 22.426151 23.094616 5567468 10.923563
"2007-02-22" 23.07016 23.102768 22.507671 22.833752 6805569 10.800177
"2007-02-23" 22.597343 22.874512 22.499519 22.752232 5508832 10.761615
"2007-02-26" 22.8256 23.404392 22.817448 23.07016 8059985 10.911995
"2007-02-27" 22.760384 22.78484 21.627256 21.961489 11735157 10.387603
"2007-02-28" 21.969641 22.254959 21.570192 21.985945 7303852 10.39917
"2007-03-01" 21.806601 22.108225 21.227808 21.920729 10041708 10.368326
