"Index" "ALL.Open" "ALL.High" "ALL.Low" "ALL.Close" "ALL.Volume" "ALL.Adjusted"
"2007-01-03" 65.139999 65.849998 65 65.279999 2694800 43.348175
"2007-01-04" 65.349998 65.440002 64.910004 65.360001 2285100 43.401318
"2007-01-05" 65.290001 65.400002 64.919998 65.18 2217800 43.281773
"2007-01-08" 64.400002 65.370003 64.220001 65.269997 2781500 43.341534
"2007-01-09" 65.309998 65.639999 64.690002 64.93 2416300 43.115772
"2007-01-10" 64.699997 64.900002 64.519997 64.760002 1627400 43.002876
"2007-01-11" 64.949997 65 63.740002 64.110001 4773000 42.571251
"2007-01-12" 63.799999 64.980003 63.720001 64.599998 3511600 42.896633
"2007-01-16" 64.910004 64.989998 64.400002 64.449997 2153800 42.797028
"2007-01-17" 64.540001 64.809998 64.339996 64.5 2131600 42.830223
"2007-01-18" 64.650002 64.800003 64.169998 64.269997 2809600 42.677498
"2007-01-19" 64.019997 64.160004 63.349998 63.73 3909500 42.318924
"2007-01-22" 63.529999 63.779999 62.709999 63.060001 4859500 41.874035
"2007-01-23" 63 63.75 62.84 63.360001 2890400 42.073227
"2007-01-24" 63.290001 63.950001 63.259998 63.709999 2388200 42.305649
"2007-01-25" 63.580002 63.919998 62.939999 63.119999 2618600 41.913864
"2007-01-26" 63.349998 63.630001 62.889999 63.470001 2476800 42.146275
"2007-01-29" 63.66 64.080002 63.27 63.529999 2308000 42.186119
"2007-01-30" 63.599998 64.120003 63.599998 64 3046600 42.498222
"2007-01-31" 61.560001 61.939999 60.049999 60.16 12317000 39.948322
"2007-02-01" 60.25 61.259998 59.52 61 5705700 40.506119
"2007-02-02" 60.950001 61.209999 60.549999 61.189999 3244900 40.632275
"2007-02-05" 60.970001 61.209999 60.700001 61.18 3313300 40.625633
"2007-02-06" 61.400002 61.900002 61.279999 61.669998 2867500 40.951019
"2007-02-07" 61.66 61.900002 61.540001 61.540001 2226600 40.864689
"2007-02-08" 61.5 61.759998 61.330002 61.529999 2762200 40.858028
"2007-02-09" 61.700001 61.720001 60.720001 61.080002 2535500 40.559238
"2007-02-12" 61.25 61.400002 60.889999 60.900002 2353400 40.43972
"2007-02-13" 60.91 61.400002 60.900002 61.200001 3545600 40.638908
"2007-02-14" 61.400002 62.150002 61.27 61.880001 3546400 41.090462
"2007-02-15" 61.709999 62.400002 61.709999 62.27 3394500 41.349426
"2007-02-16" 61.939999 62.439999 61.869999 62.18 2651200 41.289661
"2007-02-20" 62.150002 62.240002 61.779999 62.240002 1842600 41.32951
"2007-02-21" 61.900002 62.139999 61.75 61.830002 2989400 41.057266
"2007-02-22" 61.77 62.400002 61.700001 62.009998 1856800 41.176781
"2007-02-23" 61.619999 61.900002 61.040001 61.279999 3058500 40.692032
"2007-02-26" 61.580002 61.77 61.330002 61.439999 1829700 40.798286
"2007-02-27" 60.970001 61.27 59.779999 60.189999 3252600 39.968227
"2007-02-28" 60.119999 60.529999 59.700001 60.110001 4356800 39.915131
"2007-03-01" 59.049999 60.099998 59.040001 59.93 5046100 39.795593
"2007-03-02" 59.509998 59.889999 59.349998 59.599998 2987700 39.57645
"2007-03-05" 59.25 59.540001 59.02 59.099998 2998200 39.244446
"2007-03-06" 59.25 59.77 58.75 59.630001 3096900 39.596382
"2007-03-07" 59.150002 59.240002 58.849998 58.93 3440400 39.382545
"2007-03-08" 59.099998 59.720001 59 59.59 4098300 39.823616
"2007-03-09" 59.990002 60.189999 59.880001 60.099998 2701200 40.164429
"2007-03-12" 60.029999 60.34 59.93 60.130001 1985800 40.184479
