"Index" "CINF.Open" "CINF.High" "CINF.Low" "CINF.Close" "CINF.Volume" "CINF.Adjusted"
"2007-01-03" 45.349998 46 45.220001 45.82 557400 24.700068
"2007-01-04" 45.66 45.849998 45.32 45.599998 472900 24.581484
"2007-01-05" 45.48 45.5 45.040001 45.279999 483800 24.408976
"2007-01-08" 45.200001 45.389999 44.889999 45.360001 543500 24.452108
"2007-01-09" 45.360001 45.549999 44.93 45.060001 454900 24.290382
"2007-01-10" 44.939999 45.290001 44.830002 45.02 532700 24.268816
"2007-01-11" 45.130001 45.299999 44.98 45.119999 353600 24.322727
"2007-01-12" 45 45.48 45 45.360001 463100 24.452108
"2007-01-16" 45.5 45.689999 45.330002 45.450001 322200 24.500629
"2007-01-17" 45.290001 45.580002 44.959999 45.07 436800 24.295763
"2007-01-18" 45.27 45.400002 45.009998 45.240002 362500 24.387423
"2007-01-19" 45.099998 45.490002 44.98 45.43 447900 24.489834
"2007-01-22" 45.290001 45.32 44.93 45.139999 439400 24.333508
"2007-01-23" 45.040001 45.48 45.040001 45.389999 316100 24.468279
"2007-01-24" 45.48 45.93 45.419998 45.919998 327600 24.753992
"2007-01-25" 45.82 45.98 45.16 45.32 289300 24.43054
"2007-01-26" 45.389999 45.470001 44.66 44.950001 343500 24.231081
"2007-01-29" 44.889999 45.27 44.759998 45.049999 338000 24.284996
"2007-01-30" 44.900002 45.130001 44.869999 44.990002 262000 24.252645
"2007-01-31" 45.029999 45.080002 44.490002 44.740002 722100 24.11788
"2007-02-01" 44.740002 45.439999 44.669998 45.349998 685900 24.446712
"2007-02-02" 45.41 45.98 45.150002 45.869999 507500 24.727026
"2007-02-05" 45.939999 45.970001 45.580002 45.73 309900 24.651554
"2007-02-06" 45.880001 46.240002 45.68 45.740002 505700 24.65695
"2007-02-07" 45.220001 45.41 44.66 45.009998 1033700 24.263432
"2007-02-08" 44.41 44.610001 43.919998 43.959999 866800 23.697409
"2007-02-09" 43.959999 44.200001 43.560001 43.849998 875200 23.638113
"2007-02-12" 44.009998 44.150002 43.5 43.59 448000 23.49795
"2007-02-13" 43.599998 43.950001 43.540001 43.82 462300 23.621944
"2007-02-14" 43.700001 44.110001 43.700001 43.990002 467800 23.713575
"2007-02-15" 44.189999 44.369999 44.130001 44.290001 556300 23.875305
"2007-02-16" 44.299999 44.43 43.950001 44.189999 549500 23.821384
"2007-02-20" 44.279999 44.360001 43.93 44.23 621900 23.842953
"2007-02-21" 44.060001 44.200001 43.990002 44.049999 433800 23.745928
"2007-02-22" 44.189999 44.5 44.060001 44.220001 416300 23.83757
"2007-02-23" 44.099998 44.290001 43.889999 44.009998 520600 23.724363
"2007-02-26" 44.02 44.279999 43.639999 43.950001 452100 23.692013
"2007-02-27" 43.799999 43.990002 43 43.009998 880300 23.185303
"2007-02-28" 43.02 43.599998 42.990002 43.220001 673600 23.298494
"2007-03-01" 43 43.610001 42.639999 43.360001 949100 23.373978
"2007-03-02" 43.060001 43.450001 42.82 42.860001 735900 23.104437
"2007-03-05" 42.790001 43.25 42.490002 42.490002 692100 22.904987
"2007-03-06" 42.580002 42.91 42.57 42.66 1106100 22.99663
"2007-03-07" 42.560001 42.900002 42.52 42.560001 659400 22.942717
"2007-03-08" 42.77 43.139999 42.700001 42.990002 406100 23.174505
"2007-03-09" 43.150002 43.150002 42.759998 43.099998 381200 23.233816
"2007-03-12" 42.959999 43.119999 42.93 43.040001 469900 23.201466
"2007-03-13" 43.009998 43.040001 42.290001 42.299999 616700 22.802546
"2007-03-14" 42.32 42.490002 41.439999 42.240002 795700 22.77021
"2007-03-15" 42.099998 42.700001 42.040001 42.529999 950000 22.926542
"2007-03-16" 42.549999 42.84 42.310001 42.66 800400 22.99663
"2007-03-19" 42.790001 43.130001 42.700001 42.93 886100 23.142168
"2007-03-20" 43.09 43.09 42.700001 42.759998 796400 23.050522
"2007-03-21" 42.669998 43.5 42.25 43.389999 821200 23.585955
