"Index" "CF.Open" "CF.High" "CF.Low" "CF.Close" "CF.Volume" "CF.Adjusted"
"2007-01-03" 5.178 5.348 5.14 5.292 3847500 3.888138
"2007-01-04" 5.29 5.378 5.26 5.35 2146500 3.93075
"2007-01-05" 5.17 5.332 5.17 5.318 2165500 3.907237
"2007-01-08" 5.318 5.348 5.218 5.284 2544500 3.882258
"2007-01-09" 5.296 5.42 5.29 5.404 3017500 3.970424
"2007-01-10" 5.404 5.454 5.39 5.43 3484500 3.989527
"2007-01-11" 5.438 5.564 5.42 5.54 2695000 4.070347
"2007-01-12" 5.642 5.856 5.63 5.806 5354500 4.265783
"2007-01-16" 5.842 5.954 5.838 5.88 4929500 4.320151
"2007-01-17" 5.878 5.92 5.842 5.88 3700500 4.320151
"2007-01-18" 5.884 5.902 5.766 5.768 2779000 4.237865
"2007-01-19" 5.76 5.87 5.744 5.858 3209500 4.303988
"2007-01-22" 5.86 5.866 5.72 5.734 2494500 4.212883
"2007-01-23" 5.72 5.856 5.67 5.788 4710500 4.252558
"2007-01-24" 5.786 5.82 5.56 5.764 2611000 4.234923
"2007-01-25" 5.76 5.79 5.642 5.664 1836000 4.161452
"2007-01-26" 5.664 5.778 5.64 5.74 3197500 4.217291
"2007-01-29" 5.774 6.436 5.73 6.296 10060000 4.625796
"2007-01-30" 6.314 6.35 6.138 6.154 6355500 4.521466
"2007-01-31" 6.156 6.256 6.076 6.1 5907000 4.48179
"2007-02-01" 6.28 6.582 6.28 6.364 5335000 4.675755
"2007-02-02" 6.4 6.404 6.278 6.312 1697500 4.637552
"2007-02-05" 6.322 6.416 6.308 6.326 1866000 4.647837
"2007-02-06" 6.332 6.406 6.202 6.3 3465000 4.628734
"2007-02-07" 6.3 6.436 6.268 6.416 1914500 4.713962
"2007-02-08" 6.456 6.496 6.308 6.48 3057000 4.760982
"2007-02-09" 6.75 6.8 6.484 6.572 5475500 4.828578
"2007-02-12" 6.61 6.83 6.592 6.666 6463000 4.897642
"2007-02-13" 6.682 7.1 6.578 6.792 4262000 4.990216
"2007-02-14" 6.822 6.914 6.784 6.864 3989500 5.043116
"2007-02-15" 6.87 6.96 6.804 6.916 3975000 5.084284
"2007-02-16" 6.916 6.98 6.802 6.87 3365000 5.050466
"2007-02-20" 6.98 7.528 6.91 7.436 8702000 5.466562
"2007-02-21" 7.452 7.748 7.432 7.686 9029000 5.650347
"2007-02-22" 7.684 7.916 7.478 7.752 13221500 5.698868
"2007-02-23" 7.752 8.092 7.72 7.916 10372000 5.819431
"2007-02-26" 8.02 8.07 7.824 7.912 5270500 5.816492
"2007-02-27" 7.48 7.676 7.346 7.45 8891500 5.476854
"2007-02-28" 7.484 7.8 7.254 7.732 6337500 5.684165
"2007-03-01" 7.63 7.794 7.252 7.6 8316500 5.587125
"2007-03-02" 7.52 7.686 7.24 7.312 8337000 5.375401
"2007-03-05" 7.198 7.662 7.004 7.44 7933500 5.469502
"2007-03-06" 7.566 7.836 7.464 7.74 7748000 5.690047
"2007-03-07" 7.77 7.95 7.72 7.79 6386000 5.726803
"2007-03-08" 7.92 8.264 7.92 8.106 6083000 5.95911
"2007-03-09" 8.206 8.39 8.044 8.16 3704500 5.998807
"2007-03-12" 8.16 8.458 8.16 8.24 5137500 6.057621
"2007-03-13" 8.24 8.536 8.032 8.13 8033500 5.976754
"2007-03-14" 8.144 8.268 7.812 8.136 8086500 5.981165
"2007-03-15" 8.15 8.294 8.02 8.098 4299000 5.953229
"2007-03-16" 8.096 8.172 8.01 8.048 6652000 5.916471
"2007-03-19" 8.13 8.4 8.13 8.342 4152000 6.132607
"2007-03-20" 8.35 8.536 8.29 8.464 3929000 6.222293
"2007-03-21" 8.512 8.744 8.504 8.636 5575500 6.348736
"2007-03-22" 8.71 8.726 8.524 8.588 3688500 6.313452
"2007-03-23" 8.596 8.62 8.316 8.362 4663000 6.14731
"2007-03-26" 8.374 8.416 7.858 8.196 8827500 6.025272
"2007-03-27" 8.176 8.176 7.572 7.688 16275000 5.651818
"2007-03-28" 7.594 7.72 7.338 7.544 12561500 5.545958
"2007-03-29" 7.76 7.8 7.534 7.756 7187500 5.701809
"2007-03-30" 7.94 7.94 7.436 7.71 11734500 5.667991
"2007-04-02" 7.672 7.81 7.592 7.802 7573500 5.735627
"2007-04-03" 7.864 8.018 7.77 7.902 7176500 5.80914
"2007-04-04" 8 8.056 7.85 8.032 4082500 5.90471
"2007-04-05" 8.106 8.296 8.056 8.222 4823000 6.044387
"2007-04-09" 8.28 8.468 8.24 8.264 6567500 6.075264
"2007-04-10" 8.02 8.242 7.834 8.134 7651500 5.979698
"2007-04-11" 8.16 8.4 8.16 8.336 7783500 6.128195
"2007-04-12" 8.344 8.668 8.252 8.652 10068000 6.360502
"2007-04-13" 8.86 9.064 8.82 8.86 18154000 6.513411
"2007-04-16" 9 9.07 8.816 8.852 5927000 6.50753
"2007-04-17" 8.84 8.966 8.78 8.8 5856000 6.469301
"2007-04-18" 8.8 8.992 8.424 8.906 6286500 6.547231
"2007-04-19" 8.79 8.826 8.64 8.702 4388500 6.397261
"2007-04-20" 8.86 8.98 8.72 8.8 2951000 6.469301
"2007-04-23" 8.802 8.898 8.738 8.836 2278500 6.49577
"2007-04-24" 8.88 8.926 8.66 8.83 3060000 6.491356
"2007-04-25" 8.88 8.992 8.766 8.88 3623000 6.528114
"2007-04-26" 9.12 9.344 8.88 9.142 7928500 6.720724
"2007-04-27" 8.514 9.332 8.22 8.616 12396000 6.334035
"2007-04-30" 8.366 8.366 7.902 7.938 17924000 5.835604
"2007-05-01" 7.938 8.016 7.638 7.7 10794500 5.66064
"2007-05-02" 7.764 8.1 7.764 8.004 10193000 5.884125
"2007-05-03" 8.012 8.218 7.916 8.212 7269500 6.037038
"2007-05-04" 8.192 8.266 7.874 8.046 8302500 5.915002
"2007-05-07" 8.076 8.296 8.048 8.23 5919500 6.050269
"2007-05-08" 8.228 8.228 8.008 8.118 4642000 5.967933
"2007-05-09" 8.112 8.114 7.956 8.05 5352000 5.917944
