"Index" "USB.Open" "USB.High" "USB.Low" "USB.Close" "USB.Volume" "USB.Adjusted"
"2007-01-03" 35.610001 36.290001 35.610001 36.169998 7697500 22.265467
"2007-01-04" 36.169998 36.25 35.91 36.200001 5409000 22.283937
"2007-01-05" 36.189999 36.189999 35.700001 35.77 5748100 22.019238
"2007-01-08" 35.700001 36.189999 35.490002 35.650002 5752100 21.945366
"2007-01-09" 35.73 35.880001 35.360001 35.630001 6548400 21.933054
"2007-01-10" 35.639999 35.740002 35.389999 35.610001 6539100 21.920742
"2007-01-11" 35.610001 35.75 35.419998 35.509998 5669100 21.859192
"2007-01-12" 35.599998 35.669998 35.450001 35.549999 6357000 21.88381
"2007-01-16" 35.599998 35.82 35.240002 35.75 6492700 22.006924
"2007-01-17" 35.689999 35.959999 35.59 35.759998 10835200 22.013071
"2007-01-18" 35.009998 35.77 35.009998 35.57 7356500 21.89612
"2007-01-19" 35.700001 35.709999 35.310001 35.459999 7405500 21.8284
"2007-01-22" 35.450001 35.52 35.259998 35.290001 5054700 21.723766
"2007-01-23" 35.25 35.400002 35.189999 35.400002 5978700 21.791481
"2007-01-24" 35.5 35.68 35.380001 35.52 6349300 21.865337
"2007-01-25" 35.52 35.580002 35.25 35.27 6762400 21.711441
"2007-01-26" 35.34 35.650002 35.330002 35.540001 7377200 21.877657
"2007-01-29" 35.5 35.66 35.380001 35.380001 5947000 21.779154
"2007-01-30" 35.389999 35.389999 35.209999 35.330002 4123000 21.748384
"2007-01-31" 35.259998 35.619999 35.119999 35.599998 7358100 21.914583
"2007-02-01" 35.599998 35.599998 35.400002 35.59 13333600 21.908432
"2007-02-02" 35.59 35.84 35.59 35.810001 5366900 22.043865
"2007-02-05" 35.709999 35.810001 35.509998 35.720001 5457200 21.988462
"2007-02-06" 35.709999 36.09 35.66 36.02 9015400 22.173128
"2007-02-07" 36.009998 36.049999 35.900002 36.009998 6290600 22.166979
"2007-02-08" 36 36 35.849998 35.93 4590400 22.117727
"2007-02-09" 35.939999 36.07 35.779999 35.84 4615000 22.062328
"2007-02-12" 35.810001 36.080002 35.810001 36.02 4240800 22.173128
"2007-02-13" 36.419998 36.419998 36.02 36.25 5336000 22.314716
"2007-02-14" 36.25 36.290001 36.07 36.200001 6901600 22.283937
"2007-02-15" 36.599998 36.599998 36.139999 36.349998 5147100 22.376272
"2007-02-16" 36.599998 36.619999 36.279999 36.619999 7535700 22.542482
"2007-02-20" 36.389999 36.84 36.389999 36.68 6348200 22.579416
"2007-02-21" 36.599998 36.720001 36.459999 36.630001 4818900 22.548632
"2007-02-22" 36.650002 36.720001 36.57 36.639999 4560400 22.554794
"2007-02-23" 36.73 36.73 36.200001 36.549999 6840300 22.499386
"2007-02-26" 36.59 36.650002 36.209999 36.439999 4984700 22.431669
"2007-02-27" 36.779999 36.779999 34.77 35.610001 10566400 21.920742
"2007-02-28" 35.599998 35.91 35.450001 35.66 10317600 21.951523
"2007-03-01" 35.48 35.779999 35.259998 35.57 11364800 21.89612
"2007-03-02" 35.509998 35.869999 35.34 35.389999 8038800 21.785316
"2007-03-05" 35.389999 36.189999 35.099998 35.139999 10432900 21.631416
"2007-03-06" 35.259998 35.619999 35.25 35.610001 10634300 21.920742
"2007-03-07" 35.630001 35.73 35.369999 35.470001 6922600 21.834572
"2007-03-08" 35.610001 35.810001 35.5 35.549999 6581400 21.88381
"2007-03-09" 35.689999 35.75 35.470001 35.529999 5452600 21.871492
"2007-03-12" 35.439999 35.709999 35.41 35.66 5937500 21.951523
"2007-03-13" 35.509998 35.52 34.900002 35 10012200 21.545244
"2007-03-14" 35.18 35.18 34.400002 34.900002 13022700 21.483692
"2007-03-15" 34.799999 35.349998 34.75 35.200001 8636900 21.668358
"2007-03-16" 35.18 35.48 35 35.099998 11041100 21.606792
"2007-03-19" 35.25 35.52 35.169998 35.419998 4772300 21.803785
"2007-03-20" 35.380001 35.66 35.349998 35.580002 5307900 21.902279
"2007-03-21" 35.549999 36.099998 35.419998 36.029999 8877200 22.179279
"2007-03-22" 36.029999 36.16 35.82 36 6736600 22.160822
"2007-03-23" 36 36.150002 35.810001 35.91 4706100 22.105412
"2007-03-26" 36 36.07 35.66 36.009998 7632900 22.166979
"2007-03-27" 35.919998 35.98 35.509998 35.599998 7864000 21.914583
"2007-03-28" 35.200001 35.459999 34.740002 34.77 10213500 21.646879
"2007-03-29" 34.970001 35.150002 34.77 35.009998 6355500 21.796299
"2007-03-30" 35.09 35.439999 34.619999 34.970001 6838500 21.771395
"2007-04-02" 35.029999 35.029999 34.509998 34.669998 7942400 21.584621
"2007-04-03" 34.889999 35.18 34.860001 35.029999 6307900 21.808746
"2007-04-04" 34.98 35.099998 34.669998 34.700001 7450200 21.603294
"2007-04-05" 34.689999 34.790001 34.529999 34.720001 6799900 21.615755
"2007-04-09" 34.709999 34.740002 34.560001 34.68 4859300 21.590847
"2007-04-10" 34.68 34.91 34.610001 34.799999 6554700 21.665556
"2007-04-11" 34.810001 34.810001 34.41 34.48 8318800 21.466335
"2007-04-12" 34.349998 34.450001 34.099998 34.41 10513000 21.422752
"2007-04-13" 34.599998 34.599998 34.18 34.470001 8178400 21.460117
"2007-04-16" 34.549999 35 34.540001 34.900002 8635400 21.727816
"2007-04-17" 34.849998 34.900002 34.43 34.560001 10361200 21.51614
"2007-04-18" 34.560001 34.560001 34.23 34.400002 9196000 21.416531
"2007-04-19" 34.310001 34.48 34.139999 34.330002 9338400 21.37295
"2007-04-20" 35 35.049999 34.330002 34.549999 12443400 21.509911
"2007-04-23" 34.549999 34.560001 34.32 34.34 7965000 21.379177
"2007-04-24" 34.5 34.790001 34.02 34.130001 10322600 21.248432
"2007-04-25" 34.330002 34.66 34.130001 34.57 7720000 21.522369
"2007-04-26" 35.07 35.080002 34.360001 34.549999 10170800 21.509911
"2007-04-27" 34.07 34.650002 34 34.549999 5128400 21.509911
"2007-04-30" 34.560001 34.689999 34.330002 34.349998 9289300 21.385397
"2007-05-01" 34.349998 34.41 34.130001 34.389999 9047900 21.410307
"2007-05-02" 34.389999 34.549999 34 34.5 6220500 21.478785
"2007-05-03" 34.540001 34.619999 34.240002 34.349998 7732900 21.385397
"2007-05-04" 34.48 34.630001 34.369999 34.490002 5159300 21.472551
"2007-05-07" 34.509998 34.849998 34.509998 34.619999 5831800 21.553492
"2007-05-08" 34.560001 34.709999 34.450001 34.630001 6356800 21.559723
"2007-05-09" 34.599998 34.889999 34.529999 34.810001 7371200 21.67178
"2007-05-10" 34.799999 34.799999 34.380001 34.400002 6851100 21.416531
"2007-05-11" 34.5 34.689999 34.459999 34.66 5352000 21.578398
"2007-05-14" 34.639999 34.759998 34.360001 34.41 6765000 21.422752
"2007-05-15" 34.540001 34.759998 34.470001 34.540001 7047200 21.503695
"2007-05-16" 34.689999 34.759998 34.41 34.580002 8047600 21.528587
"2007-05-17" 34.580002 34.619999 34.43 34.540001 4555600 21.503695
"2007-05-18" 34.669998 34.900002 34.57 34.779999 7733100 21.653114
"2007-05-21" 34.869999 34.869999 34.549999 34.580002 8252700 21.528587
"2007-05-22" 34.549999 34.599998 34.310001 34.419998 9185900 21.428988
"2007-05-23" 34.450001 34.610001 34.360001 34.369999 8453600 21.397854
"2007-05-24" 34.700001 34.900002 34.16 34.18 8162400 21.279558
"2007-05-25" 34.25 34.450001 34.25 34.389999 4749600 21.410307
"2007-05-29" 34.470001 34.57 34.389999 34.470001 5730000 21.460117
"2007-05-30" 34.48 34.77 34.43 34.709999 6317100 21.609526
"2007-05-31" 34.759998 34.880001 34.450001 34.580002 6562900 21.528587
"2007-06-01" 34.599998 34.779999 34.529999 34.630001 7192800 21.559723
"2007-06-04" 34.549999 34.700001 34.450001 34.509998 7978700 21.485006
"2007-06-05" 34.5 34.560001 34.27 34.5 8396900 21.478785
"2007-06-06" 34.439999 34.52 34.23 34.310001 7411900 21.3605
"2007-06-07" 34.299999 34.529999 34.029999 34.029999 11455800 21.186174
"2007-06-08" 34.119999 34.25 33.91 34.209999 9651800 21.298235
"2007-06-11" 34.200001 34.400002 34.110001 34.299999 7869100 21.354261
"2007-06-12" 34.139999 34.25 33.849998 33.849998 7729200 21.074102
"2007-06-13" 34 34.16 33.639999 34.150002 8706500 21.260887
"2007-06-14" 34.110001 34.209999 33.889999 33.939999 9422700 21.13014
"2007-06-15" 34.110001 34.25 34.040001 34.119999 12736300 21.242212
"2007-06-18" 34.220001 34.279999 34.09 34.200001 8076500 21.292015
"2007-06-19" 34.099998 34.43 34.07 34.389999 6559600 21.410307
"2007-06-20" 34.41 34.450001 33.939999 33.959999 6362300 21.142597
