"Index" "WFC.Open" "WFC.High" "WFC.Low" "WFC.Close" "WFC.Volume" "WFC.Adjusted"
"2007-01-03" 35.93 36.009998 35.369999 35.740002 12447600 22.773401
"2007-01-04" 35.740002 36.02 35.540001 35.799999 11060500 22.811628
"2007-01-05" 35.790001 35.830002 35.509998 35.599998 10329200 22.684191
"2007-01-08" 35.610001 35.889999 35.389999 35.5 11650400 22.620476
"2007-01-09" 35.580002 35.849998 35.48 35.59 10159800 22.67782
"2007-01-10" 35.419998 35.650002 35.369999 35.48 9801800 22.607729
"2007-01-11" 35.450001 35.639999 35.450001 35.540001 7089700 22.645964
"2007-01-12" 35.540001 35.720001 35.400002 35.509998 10251800 22.626841
"2007-01-16" 35.810001 36.5 35.75 36.23 15186000 23.085623
"2007-01-17" 36.310001 36.48 36.049999 36.27 11854100 23.111109
"2007-01-18" 36.27 36.389999 36.139999 36.200001 8292400 23.066504
"2007-01-19" 36.290001 36.330002 35.869999 36.040001 10649900 22.96456
"2007-01-22" 35.959999 36.060001 35.580002 35.75 13683900 22.779768
"2007-01-23" 35.799999 36.049999 35.560001 36.009998 8460900 22.945435
"2007-01-24" 35.970001 36.630001 35.950001 36.560001 10893500 23.295902
"2007-01-25" 36.459999 36.639999 36.02 36.080002 8555000 22.990055
"2007-01-26" 36.130001 36.23 35.830002 36.029999 10103800 22.958189
"2007-01-29" 35.91 36.119999 35.849998 35.950001 13256200 22.907209
"2007-01-30" 36.09 36.110001 35.810001 35.900002 9689100 22.875355
"2007-01-31" 35.48 36 35.470001 35.919998 8536500 23.068005
"2007-02-01" 35.93 36.09 35.619999 35.869999 7875600 23.035894
"2007-02-02" 35.869999 36.049999 35.77 35.860001 6222200 23.02948
"2007-02-05" 35.790001 35.849998 35.66 35.689999 15495800 22.9203
"2007-02-06" 35.790001 36.02 35.75 35.900002 9657100 23.05517
"2007-02-07" 35.91 36.040001 35.759998 35.880001 9411400 23.042328
"2007-02-08" 35.810001 35.810001 35.360001 35.560001 11147500 22.836824
"2007-02-09" 35.419998 35.849998 35.23 35.360001 12378900 22.708378
