"Index" "LNT.Open" "LNT.High" "LNT.Low" "LNT.Close" "LNT.Volume" "LNT.Adjusted"
"2007-01-03" 18.84 19.110001 18.775 18.934999 1308000 10.405043
"2007-01-04" 18.9 19.1 18.844999 19.08 743800 10.484721
"2007-01-05" 19.004999 19.004999 18.424999 18.555 1003600 10.196226
"2007-01-08" 18.52 18.6 18.344999 18.475 1197400 10.152264
"2007-01-09" 18.51 18.525 18.35 18.48 648200 10.155008
"2007-01-10" 18.43 18.540001 18.379999 18.504999 343000 10.168749
"2007-01-11" 18.540001 18.715 18.42 18.440001 585200 10.133029
"2007-01-12" 18.4 18.57 18.4 18.459999 773800 10.14402
"2007-01-16" 18.5 18.549999 18.125 18.15 966800 9.973675
"2007-01-17" 18.120001 18.219999 18.08 18.18 686600 9.990159
"2007-01-18" 18.165001 18.184999 17.93 17.969999 1135000 9.874759
"2007-01-19" 17.950001 18.385 17.605 18.35 1114400 10.083576
"2007-01-22" 18.35 18.4 18.26 18.375 618800 10.097309
"2007-01-23" 18.334999 18.334999 18.15 18.18 1076400 9.990159
"2007-01-24" 18.155001 18.315001 18.155001 18.275 569800 10.042364
"2007-01-25" 18.225 18.27 18.014999 18.09 861400 9.940702
"2007-01-26" 18.09 18.225 17.940001 18.190001 895200 9.995654
"2007-01-29" 18.225 18.26 18.084999 18.219999 722800 10.100427
"2007-01-30" 18.27 18.33 18.219999 18.280001 336200 10.133687
"2007-01-31" 18.215 18.305 18.135 18.174999 467400 10.075479
"2007-02-01" 18.025 18.370001 18.025 18.299999 919600 10.144779
"2007-02-02" 18.325001 18.5 18.25 18.445 2250000 10.225159
"2007-02-05" 18.450001 18.625 18.4 18.575001 703600 10.297229
"2007-02-06" 18.639999 18.785 18.549999 18.780001 951600 10.410866
"2007-02-07" 18.790001 18.879999 18.715 18.780001 557200 10.410866
"2007-02-08" 19.049999 19.684999 19.049999 19.365 2236800 10.73517
"2007-02-09" 19.299999 19.594999 19.245001 19.58 2090200 10.854356
"2007-02-12" 19.645 20.52 19.615 20.23 3330800 11.214688
"2007-02-13" 20.299999 20.655001 20.290001 20.639999 2582600 11.441974
"2007-02-14" 20.639999 21.030001 20.639999 20.99 1893800 11.636006
"2007-02-15" 20.99 21.360001 20.934999 21.07 2604200 11.680354
"2007-02-16" 21.040001 21.225 21.004999 21.145 1457600 11.721929
"2007-02-20" 21.065001 21.540001 21.065001 21.48 1717800 11.907641
"2007-02-21" 21.334999 21.700001 21.200001 21.450001 1947600 11.891011
"2007-02-22" 21.459999 21.639999 21.445 21.475 1388800 11.904867
"2007-02-23" 21.424999 21.629999 21.424999 21.6 1228600 11.974161
"2007-02-26" 22 22 21.655001 21.715 1416800 12.037913
"2007-02-27" 21.5 21.549999 21.014999 21.030001 1269200 11.658174
"2007-02-28" 21.075001 21.25 20.865 20.91 2016000 11.591652
"2007-03-01" 20.91 21.325001 20.355 21.155001 1397000 11.727472
"2007-03-02" 21.129999 21.139999 20.775 20.815001 1426400 11.538991
"2007-03-05" 20.639999 20.809999 20.559999 20.6 1719400 11.419801
"2007-03-06" 20.799999 21.110001 20.684999 21.08 2100000 11.685893
"2007-03-07" 21.084999 21.275 20.945 21.18 1752200 11.741333
"2007-03-08" 21.295 21.450001 21.254999 21.4 1782400 11.863284
"2007-03-09" 21.495001 21.67 21.385 21.655001 1766800 12.004651
"2007-03-12" 21.205 22.02 21.205 21.975 1960200 12.182045
"2007-03-13" 21.889999 22.26 21.705 21.775 2407600 12.071176
"2007-03-14" 21.745001 22.055 21.52 21.985001 3336400 12.18759
"2007-03-15" 22.049999 22.305 21.975 22.225 1424200 12.320636
"2007-03-16" 22.27 22.360001 22.110001 22.139999 1639800 12.273517
"2007-03-19" 22.219999 22.424999 22.15 22.35 1146600 12.389936
"2007-03-20" 22.285 22.615 22.209999 22.605 1414200 12.531295
"2007-03-21" 22.59 22.735001 22.365 22.735001 1889600 12.603364
"2007-03-22" 23.15 23.15 22.565001 22.84 1065800 12.661568
"2007-03-23" 22.790001 22.790001 22.629999 22.635 1077600 12.547919
"2007-03-26" 22.639999 22.75 22.540001 22.615 1418400 12.536839
"2007-03-27" 22.6 22.655001 22.360001 22.594999 903400 12.52575
"2007-03-28" 22.594999 22.684999 22.434999 22.58 685600 12.517432
"2007-03-29" 22.67 22.68 22.450001 22.610001 510400 12.534064
